"DOY" "Depth" "NPP"
353 5 6.15
353 50 2.15
353 75 0.29
353 100 2.85
353 120 0.16
27 18 3.78
27 41 3.5
27 62 2.02
27 81 0.77
27 102 0.49
50 2 28.3
50 20 8.11
50 30 24.57
50 47 1.84
50 100 0.12
85 4 4.02
85 15 2.85
85 25 3.8
85 35 3.54
85 53 2.96
85 70 0.4
107 5 3.57
107 17 3.5
107 32 2.49
107 50 2.45
107 64 2.14
107 75 3.16
136 3 2.42
136 14 1.72
136 25 0.86
136 39 2.17
136 67 1.83
136 97 0.67
173 16 4.38
173 24 4.27
173 39 1.86
173 66 3.92
201 1 4.06
201 20 4.3
201 40 3.76
201 60 3.75
201 80 3.61
201 100 3.35
228 1 2.75
228 20 5.39
228 40 2.83
228 60 2.41
228 80 0.87
228 100 0.38
228 120 0.89
228 140 0.21
293 1 4.46
293 20 4.09
293 40 1.12
293 60 1.84
293 80 0.97
293 100 0.4
293 120 0.13
293 140 0.08
324 1 4.28
324 20 4.05
324 40 3.19
324 60 1.8
324 80 0.4
324 100 0.25
324 120 0.01
324 140 0.07
16 1 3.88
16 20 4.27
16 40 3.56
16 60 1.91
16 80 0.73
16 100 0.05
16 120 0.27
16 140 0.11
47 1 4.89
47 20 7.32
47 40 6.6
47 60 4.59
47 80 2.44
47 100 1.11
47 120 0.45
72 1 7.38
72 20 8.6
72 40 7.45
72 60 3.95
72 80 0.95
72 100 0.34
72 120 0.16
72 140 0.19
107 1 13.18
107 20 14.03
107 40 9.69
107 60 3.47
107 80 0.3
107 100 0.34
107 120 0.08
107 140 0.07
129 1 4.63
129 20 4.74
129 40 4.18
129 60 3.3
129 80 1.86
129 100 0.9
129 120 0.4
129 140 0.27
173 1 5.59
173 20 5.16
173 40 3.92
173 60 2.54
173 80 1.46
173 100 0.38
173 120 0.12
173 140 0.15
198 1 2.56
198 20 3.87
198 40 2.6
198 60 2.32
198 80 1.09
198 100 0.43
198 140 0.02
226 1 2.67
226 20 3.14
226 40 1.65
226 60 2.74
226 80 1.33
226 100 1.18
226 120 0.54
226 140 0.19
254 1 3.43
254 20 3.9
254 40 2.55
254 60 2.36
254 80 1.14
