"DOY" "Depth" "PON"
50 5 0.255
50 42 0.18
50 71.8 0.242
50 100.2 0.227
50 126.4 0.12
50 148.4 0.113
50 177.6 0.061
50 247.7 0.032
139 1.3 0.272
139 20.8 0.3
139 40.9 0.293
139 73.5 0.223
139 98.2 0.272
139 125.2 0.209
139 149.8 0.098
139 174.6 0.077
200 7.6 0.293
200 27.8 0.301
200 47.4 0.326
200 76.2 0.218
200 105 0.236
200 129.8 0.205
200 154.2 0.073
200 180.7 0.084
231 6.1 0.317
231 26.3 0.348
231 46.9 0.31
231 77.2 0.284
231 103.2 0.264
231 130.1 0.219
231 156.9 0.122
231 183.6 0.097
263 78 0.398
263 104.1 0.237
263 155.7 0.174
263 181 0.091
293 25.1 0.363
293 45.3 0.314
293 75.7 0.251
293 101.3 0.314
293 128.2 0.209
293 155.6 0.105
293 183.2 0.119
19 4.9 0.181
19 25.5 0.204
19 25.4 0.175
19 25.6 0.203
19 46.1 0.216
19 75.6 0.192
19 102.1 0.109
19 102 0.096
19 126.7 0.084
19 154 0.069
19 179.5 0.061
50 6.4 0.258
50 25.6 0.251
50 45.9 0.272
50 76.1 0.279
50 125.9 0.153
50 153.3 0.084
50 178.8 0.049
78 4.7 0.286
78 24.6 0.279
78 44.2 0.286
78 73.7 0.3
78 104.3 0.272
78 128.9 0.153
78 152.2 0.132
78 176 0.119
109 6.4 0.3
109 6.3 0.307
110 6.3 0.314
110 31.1 0.307
110 31 0.314
110 45.6 0.293
110 75.7 0.23
110 101.5 0.216
110 143.2 0.174
110 152.8 0.153
110 177.2 0.132
139 8.2 0.321
139 28 0.37
139 48.8 0.335
139 79.6 0.321
139 105.3 0.3
139 130.7 0.167
139 155.6 0.119
139 181.6 0.098
170 11.5 0.3
170 27.3 0.314
170 47.4 0.342
170 78.1 0.307
170 104 0.237
170 129.4 0.258
170 154.7 0.153
170 180.2 0.112
200 6 0.384
200 27 0.37
200 46.3 0.349
200 102.3 0.293
200 130.5 0.153
200 154.7 0.139
200 185.6 0.098
353 6.6 0.237
353 28.5 0.244
353 45.7 0.237
353 76.5 0.237
353 102 0.206
353 128.3 0.139
353 154.1 0.098
353 177.3 0.042
50 6.9 0.209
50 26.6 0.188
50 26.6 0.181
50 46.5 0.195
50 76.2 0.188
50 105.7 0.167
50 105.7 0.174
50 129.7 0.132
50 157.4 0.077
50 179.3 0.07
78 14.9 0.279
78 30.8 0.265
78 48 0.23
78 77.9 0.244
78 106.7 0.23
78 127.4 0.23
78 155.2 0.132
78 175.6 0.07
109 7.6 0.279
109 28.8 0.286
109 47.9 0.3
109 77.3 0.265
109 101.6 0.293
109 111.4 0.286
109 118.7 0.251
109 129.2 0.237
109 156 0.119
109 182.4 0.112
109 13 0.3
109 13.1 0.272
109 13.1 0.279
109 12.9 0.265
140 79 0.411
140 105.2 0.335
140 129.9 0.314
140 156.7 0.139
140 182.4 0.119
140 182.4 0.119
171 26.2 0.265
171 48.5 0.272
171 78.5 0.453
171 103.3 0.209
171 119.1 0.272
171 128.7 0.098
171 140.9 0.105
171 155.2 0.105
171 182.3 0.091
170 130.6 0.418
200 6.1 0.425
200 27.1 0.481
200 49.1 0.453
200 78.1 0.453
200 106.1 0.272
200 128.9 0.328
200 155.4 0.216
200 181.5 0.174
231 8.3 0.265
231 24 0.37
231 44.6 0.286
231 62.7 0.404
231 80.1 0.314
231 102.6 0.153
231 144.4 0.139
231 156 0.042
231 179.6 0.091
262 27 0.397
292 6.7 0.265
292 26.2 0.335
292 46.2 0.244
292 76.9 0.307
292 101.5 0.293
292 122 0.23
292 127.1 0.23
292 150.8 0.119
292 175.9 0.119
353 6.8 0.286
353 151.1 0.146
353 176.2 0.07
50 27.2 0.307
50 47.4 0.22
50 78.1 0.181
50 83.5 0.188
50 124.3 0.028
50 134.2 0.042
50 154.6 0.112
50 184.8 0.105
170 8.6 0.202
170 28.5 0.234
170 47.5 0.223
170 77.4 0.223
170 103.7 0.185
170 129 0.216
170 154.4 0.091
201 25.5 0.293
201 25.6 0.279
201 73.2 0.39
201 101.1 0.307
201 124.5 0.216
201 129.4 0.286
201 134.3 0.195
201 140.2 0.139
201 150.3 0.132
201 177.2 0.091
201 248.8 0.077
200 50.9 0.397
200 50.8 0.537
200 50.7 0.376
200 135.8 0.195
200 135.8 0.153
200 135.8 0.167
231 29.6 0.377
231 49.1 0.411
231 79.3 0.349
231 104.4 0.363
231 128.6 0.192
231 155.4 0.125
231 179.6 0.098
19 4.3 0.279
19 25 0.314
19 45.1 0.307
19 72.6 0.321
19 99.8 0.268
19 120.6 0.244
19 145.5 0.146
19 177.2 0.098
19 239.7 0.091
50 6.8 0.356
50 24.6 0.366
50 44.8 0.397
50 60.3 0.39
50 65 0.418
50 71 0.383
50 75 0.356
50 80.3 0.216
50 95.2 0.188
50 100.5 0.178
50 105.4 0.181
50 125.2 0.139
50 150.6 0.084
50 169.9 0.077
109 5.5 0.39
109 28.6 0.383
109 28 0.37
109 44.8 0.342
109 74.6 0.335
109 89.7 0.342
109 99.8 0.397
109 99.8 0.39
109 109 0.411
109 126 0.314
109 140.5 0.3
109 148.2 0.188
109 174.1 0.146
109 243.2 0.16
140 7.2 0.3
140 27.5 0.307
140 48.2 0.237
140 48.2 0.286
140 78.7 0.3
140 78.8 0.293
140 103.8 0.307
140 121.3 0.265
140 174.8 0.119
140 212.6 0.112
262 7 0.3
262 25.5 0.314
262 25.2 0.314
262 47 0.314
262 76.8 0.342
262 98.7 0.3
262 98.8 0.335
262 122.5 0.244
262 149.4 0.167
262 177.4 0.077
292 7.3 0.662
292 27.4 0.383
292 50.1 0.523
292 55.9 0.383
292 74 0.432
292 90.6 0.439
292 100.4 0.363
292 104.8 0.641
292 109.5 0.432
292 113.9 0.453
292 125.2 0.593
292 150.8 0.167
292 174.5 0.167
19 6.9 0.23
19 12.6 0.237
19 27.6 0.223
19 46.4 0.244
19 62.8 0.216
19 72.9 0.223
19 84.9 0.084
19 99.3 0.237
19 116.2 0.16
19 175.9 0.091
19 246.6 0.063
19 6.8 0.258
19 25.5 0.3
19 53.4 0.237
19 76.9 0.251
19 101.1 0.153
19 101.8 0.091
19 101.9 0.167
19 127.1 0.125
19 150.6 0.258
19 173.7 0.084
50 5.5 0.307
50 25.2 0.314
50 44.8 0.293
50 69.8 0.272
50 74.8 0.293
50 100.1 0.254
50 126.3 0.227
50 149.8 0.202
50 176.1 0.105
78 5.6 0.272
78 25.4 0.279
78 45.6 0.272
78 75.3 0.314
78 100.6 0.279
78 126.2 0.258
78 140.8 0.244
78 147.1 0.209
78 175.7 0.146
170 25.5 0.265
170 46.3 0.268
170 49.2 0.3
170 75 0.307
170 113.9 0.279
170 132.9 0.3
170 150.5 0.146
170 175.8 0.112
170 249.5 0.091
200 4.8 0.335
200 25.3 0.303
200 46 0.39
200 75.2 0.335
200 90.3 0.342
200 100.5 0.321
200 110.7 0.314
200 125.6 0.286
200 150.7 0.098
200 174.5 0.132
231 4.7 0.711
231 25.2 0.345
231 44.5 0.349
231 75.2 0.425
231 94.2 0.376
231 100.4 0.321
231 104.7 0.328
231 109.7 0.321
231 114.8 0.265
231 125 0.237
231 149.8 0.174
231 174.8 0.132
231 249.6 0.091
231 5.5 0.321
231 24.7 0.363
231 45.4 0.286
231 76.1 0.328
231 101.5 0.3
231 125.6 0.265
231 151.1 0.174
231 178.5 0.146
262 5.5 0.314
262 24.7 0.324
262 45.6 0.335
262 75.1 0.328
262 99.5 0.286
262 109.9 0.3
262 114.5 0.307
262 119.6 0.314
262 125 0.286
262 129.6 0.237
262 150.5 0.146
262 175.5 0.119
292 5 0.272
292 25.6 0.289
292 45.2 0.272
292 75.3 0.3
