"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-493.75 28.1204810142517 27.9444880485535 23.8597269058228 28.2910504341125 24.6674404144287 34.0856065750122 26.1432862281799 25.2388987541199 24.8427019119263 18.6693377494812 15.5377490520477 17.3080286979675
-475 26.72332239151 27.8082580566406 26.139196395874 28.4716486930847 24.3736038208008 33.2989072799683 28.2346811294556 24.3389792442322 26.2289695739746 18.8840360641479 15.640896320343 17.9048228263855
-450 30.1494917869568 26.0915818214417 22.3745894432068 28.5078253746033 23.6007256507874 32.0263772010803 27.5431208610535 23.2635765075684 25.8058052062988 17.349301815033 16.5778632164001 18.9048538208008
-425 28.6860604286194 24.5497131347656 23.7281360626221 28.312340259552 23.1941533088684 31.6502470970154 26.3967351913452 22.5912399291992 25.1472363471985 17.7996969223022 16.0530960559845 17.9702019691467
-400 24.9766874313354 25.6243844032288 22.6553235054016 28.0051550865173 22.694730758667 31.1168646812439 24.1691651344299 21.8425817489624 24.0216469764709 22.1069750785828 16.1680533885956 17.4916963577271
-375 23.4450950622559 25.1072211265564 24.5642418861389 27.9320793151855 22.1438293457031 30.5037107467651 22.9361667633057 21.056408405304 23.539523601532 19.4563164710999 14.7906155586243 16.6152443885803
-350 24.6860842704773 22.8882117271423 23.7138195037842 27.5393328666687 21.5534238815308 29.0700268745422 22.0799045562744 19.9914245605469 22.7680940628052 21.5005097389221 13.665337562561 17.4707450866699
-325 23.5531663894653 22.3988676071167 22.6746282577515 26.3177547454834 20.0303730964661 27.898726940155 22.5167050361633 19.0600295066833 22.0811123847961 21.4945783615112 12.8047986030579 16.6113843917847
-300 23.6350793838501 21.5684213638306 21.7450332641602 24.9192128181458 18.6998553276062 26.5458612442017 22.5941700935364 17.706738948822 21.4322147369385 19.9478945732117 12.6008584499359 14.9588243961334
-275 24.707396030426 20.4899635314941 22.8644433021545 23.1910161972046 17.4539122581482 25.4061799049377 23.4313912391663 16.4789445400238 19.8102760314941 15.848726272583 11.9914553165436 13.9313597679138
-250 25.0304498672485 20.4473099708557 25.0020537376404 20.9368133544922 16.6779022216797 24.131778717041 23.5194869041443 15.4145386219025 18.1159906387329 13.7721908092499 11.2754905223846 12.9429709911346
-225 25.0692954063416 20.65460729599 15.8396582603455 20.7824249267578 15.0734753608704 21.7159953117371 17.7400016784668 14.430627822876 18.6488966941833 12.7998914718628 10.7756645679474 11.770090341568
-200 21.9431133270264 16.8408167362213 15.7902789115906 17.5129990577698 14.3617253303528 20.3141984939575 18.7582082748413 12.6298525333405 12.4508707523346 7.69748222827911 6.15853095054626 8.00478768348694
-175 21.5437517166138 16.3292651176453 17.846556186676 14.6411046981812 13.6236016750336 17.1918287277222 14.7291121482849 12.0691933631897 16.2862019538879 12.6021521091461 7.86883091926575 9.29865860939026
-150 18.0296535491943 14.0306947231293 15.6320679187775 13.0684962272644 12.3289728164673 16.9312257766724 12.0251379013062 10.6762864589691 13.7706844806671 10.3188853263855 7.11991655826569 8.30725741386414
-125 14.7189810276031 12.237101316452 13.9897379875183 11.4067647457123 10.2893130779266 14.6726789474487 8.6862713098526 8.51194763183594 11.5056869983673 8.08230984210968 6.09004974365234 7.0441198348999
-105 12.7149984836578 10.3622751235962 12.2558424472809 9.91052985191345 8.15923058986664 11.6339135169983 5.2504346370697 5.80544197559357 9.06633615493774 6.03654146194458 4.3774978518486 4.35737705230713
-95 12.2619440555573 9.6295006275177 11.6011347770691 9.60849404335022 7.65611743927002 10.8165397644043 4.78235924243927 4.91848576068878 8.05843722820282 5.76279723644257 3.77541726827621 3.98051285743713
-90 11.5268089771271 8.88619422912598 11.2087416648865 9.15782523155212 6.84736704826355 9.7940948009491 4.30208921432495 4.56478631496429 7.21498012542725 5.15790545940399 3.20697122812271 3.44325715303421
-85 10.0674488544464 7.67053925991058 10.9377641677856 8.48904824256897 5.8302001953125 8.81181478500366 3.36606335639954 3.82635509967804 6.26006686687469 4.37201738357544 2.50784939527512 2.53715723752975
-80 8.41741514205933 6.65375053882599 10.0228826999664 7.66311717033386 4.7252516746521 7.83518648147583 2.87818473577499 3.34724444150925 5.18731153011322 3.44879192113876 1.94794848561287 1.92965719103813
-75 7.08760237693787 5.79031801223755 9.39649951457977 5.87898433208466 3.90391755104065 6.80202007293701 2.40217983722687 2.79282343387604 4.04794055223465 2.03902673721313 1.52763769030571 1.35516208410263
-70 6.37108945846558 5.02725195884705 8.35059285163879 4.66163504123688 3.25684797763824 5.7263548374176 2.13057699799538 2.26014125347137 3.02976059913635 0.968513160943985 1.16392660140991 0.970848307013512
-65 5.02708280086517 3.87611383199692 6.2767733335495 3.50663471221924 2.70513015985489 4.41714638471603 1.77729380130768 1.6382163465023 2.38615125417709 0.558487355709076 0.883615180850029 0.769542559981346
-60 3.82682460546494 2.95009779930115 4.8714981675148 3.16161000728607 2.04672184586525 2.92017078399658 1.49499014019966 1.78616070747375 1.8699971139431 0.283171162009239 0.643884286284447 0.648227483034134
-55 2.53040617704391 2.1027575135231 3.48202174901962 1.90194636583328 1.18220044672489 1.62346914410591 1.15208089351654 1.45066848397255 1.33388191461563 0.291178081184626 0.85005159676075 0.722629562020302
-50 1.60548457503319 1.24923741817474 2.34825733304024 1.09194637835026 0.852635338902473 0.674975454807281 1.23253747820854 1.16547793149948 0.70214581489563 0.313948310911655 0.638739615678787 0.570367768406868
-45 1.33443185687065 0.809703662991524 2.04751831293106 0.752300813794136 0.576072379946709 0.342287600040436 0.605875991284847 0.993740528821945 0.485465563833714 0.326826058328152 0.410541996359825 0.48726262152195
-40 1.32186564803123 0.727539017796516 1.52728423476219 0.621096044778824 0.543122924864292 0.425191633403301 0.425989970564842 0.820967942476273 0.419965162873268 0.247086811810732 0.335349969565868 0.3069723919034
-35 1.53881675004959 0.555450119078159 1.07311502099037 0.541855379939079 0.547759503126144 0.446375302970409 0.308074727654457 0.727137312293053 0.353504963219166 0.17702865973115 0.340500049293041 0.232894379645586
-30 1.32831266522408 0.487548358738422 0.790561661124229 0.477126024663448 0.541029021143913 0.449481852352619 0.21947954595089 0.653526306152344 0.291416276246309 0.119368776679039 0.343840323388577 0.172729967162013
-25 0.89520563185215 0.458019234240055 0.678636521100998 0.41778714209795 0.508329205214977 0.337470479309559 0.159131795167923 0.591822594404221 0.263271298259497 0.138961620628834 0.294764492660761 0.2015664242208
-20 1.37404432892799 0.572492398321629 0.584943376481533 0.371621876955032 0.438433654606342 0.161158792674541 0.155819244682789 0.626227870583534 0.224888991564512 0.208082783967257 0.314103461802006 0.302163779735565
-15 1.8997563123703 0.656075865030289 0.604280896484852 0.331067390739918 0.444592773914337 0.123124936595559 0.13221818394959 0.605725541710854 0.248392704874277 0.247358929365873 0.36724504083395 0.34111774712801
-10 1.97499284148216 0.58427420258522 0.578928932547569 0.27539823949337 0.376251019537449 0.105747614055872 0.12927415035665 0.609667435288429 0.309727158397436 0.357454106211662 0.315065056085587 0.329040892422199
-5 2.21767026185989 0.51875464618206 0.55095661431551 0.195183645933867 0.363163828849792 0.111060051247478 0.0863617211580276 0.642319351434708 0.385645024478436 0.257883466780186 0.267973981797695 0.294964220374823
-1.25 2.2916247844696 0.752338230609894 0.577450267970562 0.0956474952399731 0.461096689105034 0.214967742562294 0.105247396975756 0.668682053685188 0.25432300940156 0.226524040102959 0.191897433251143 0.278670664876699
