"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-1487.5 2.85944002866745 2.80444997549057 2.86969500780106 2.89796501398087 2.93219500780106 2.86948496103287 3.02481001615524 2.84850746393204 2.93041497468948 2.79064249992371 2.85478502511978 2.84432500600815
-1450 2.97641497850418 2.89394497871399 2.87963253259659 2.90640252828598 3.08670252561569 2.87387752532959 3.05217254161835 2.93723255395889 2.97662252187729 2.86242252588272 2.92221999168396 2.95552498102188
-1400 3.05157750844955 2.95015245676041 3.00994503498077 3.06502997875214 3.1080749630928 3.06421005725861 3.19909995794296 3.12196999788284 3.08002746105194 2.95422500371933 3.01814997196198 3.00757497549057
-1350 3.15096747875214 3.01812255382538 3.13425499200821 3.11775004863739 3.17402249574661 3.15057498216629 3.26080000400543 3.23375242948532 3.19394755363464 2.99809753894806 3.19439494609833 3.11820244789124
-1300 3.28182744979858 3.13434493541718 3.24755501747131 3.24157750606537 3.3130224943161 3.28322750329971 3.38339501619339 3.2459300160408 3.31871998310089 3.12602001428604 3.31202501058578 3.24905502796173
-1250 3.42145252227783 3.38552004098892 3.26507496833801 3.3391524553299 3.35042744874954 3.37829250097275 3.60249000787735 3.33810502290726 3.44196999073029 3.29505753517151 3.36277502775192 3.31907749176025
-1200 3.59250003099442 3.50512504577637 3.50988495349884 3.48650240898132 3.55690002441406 3.50889998674393 3.61582750082016 3.63465255498886 3.57836997509003 3.54644757509232 3.58759498596191 3.53632497787476
-1150 3.67182755470276 3.61395508050919 3.67829996347427 3.60391998291016 3.70044749975204 3.65772241353989 3.79692494869232 3.85058999061584 3.79827749729156 3.64470243453979 3.80264002084732 3.7216050028801
-1100 3.85065495967865 3.80708003044128 3.86784499883652 3.79684746265411 3.89579999446869 3.85382002592087 4.01529741287231 4.08127248287201 3.99424743652344 3.82130497694016 4.00479996204376 3.92772752046585
-1050 4.05435252189636 4.01996743679047 4.10989511013031 4.01827251911163 4.09297490119934 4.07948005199432 4.22090494632721 4.318927526474 4.17589509487152 4.03090262413025 4.21302008628845 4.10182249546051
-1000 4.28199744224548 4.17119240760803 4.36539006233215 4.31292748451233 4.298952460289 4.31602740287781 4.44499492645264 4.58590006828308 4.4854199886322 4.30685496330261 4.36355257034302 4.34240245819092
-950 4.54547500610352 4.45537996292114 4.64564502239227 4.61607003211975 4.54737257957458 4.60559237003326 4.70088505744934 4.88024997711182 4.78814256191254 4.62687003612518 4.61574494838715 4.59585738182068
-900 4.84718000888824 4.68826985359192 4.93489491939545 4.92350006103516 4.8312748670578 4.96501505374908 4.97206735610962 5.18651509284973 5.12110006809235 4.91949248313904 4.92042994499207 4.87800014019012
-850 5.19345498085022 5.001424908638 5.17993259429932 5.19484746456146 5.11256992816925 5.20521998405457 5.40762507915497 5.51991009712219 5.34762990474701 5.20544993877411 5.2488249540329 5.18822252750397
-800 5.55820500850677 5.38915503025055 5.65712749958038 5.48369491100311 5.5453724861145 5.54527246952057 5.71873497962952 5.88470494747162 5.75583255290985 5.6002299785614 5.63395500183105 5.55637991428375
-750 5.84311497211456 5.83554255962372 5.94142246246338 5.84847497940063 5.87675249576569 5.9863475561142 6.27229249477386 6.15049993991852 6.116495013237 5.92026996612549 6.06612741947174 5.93289494514465
-700 6.2106249332428 6.15502500534058 6.37020003795624 6.24760007858276 6.19997262954712 6.38263261318207 6.58710491657257 6.60004496574402 6.55807244777679 6.3843024969101 6.42385244369507 6.31159996986389
-650 6.69874513149261 6.58413255214691 6.7324925661087 6.66667246818542 6.64977753162384 6.86899244785309 7.04832994937897 6.9732049703598 7.00012505054474 6.84724998474121 6.88167500495911 6.73842000961304
-600 7.2241575717926 7.00888252258301 7.31342506408691 7.13133001327515 7.06274509429932 7.2892849445343 7.48636996746063 7.44585514068604 7.3791024684906 7.24515509605408 7.25212252140045 7.17866992950439
-550 7.67093241214752 7.40752995014191 7.79862749576569 7.59947264194489 7.41487240791321 7.76112246513367 7.83650755882263 7.87936747074127 7.9665299654007 7.72170507907867 7.68520247936249 7.70349764823914
-506.25 8.08487987518311 7.86099255084991 8.1212272644043 8.1336977481842 7.88997495174408 8.31459498405457 8.47582268714905 8.4491274356842 8.4621250629425 8.27614760398865 8.20330238342285 8.23722052574158
-475 8.36607027053833 8.25864768028259 8.41070461273193 8.46372246742249 8.40781784057617 8.60589265823364 8.77566528320312 8.64382719993591 8.7415771484375 8.49094748497009 8.50665235519409 8.42647743225098
-450 8.57494759559631 8.52444052696228 8.67437982559204 8.80067491531372 8.68739986419678 8.87117981910706 9.01772999763489 8.9735701084137 9.06897497177124 8.76990246772766 8.77839517593384 8.78317022323608
-425 8.88858437538147 8.8448498249054 8.97032713890076 9.10269284248352 9.03722500801086 9.20587253570557 9.39342021942139 9.31005215644836 9.41342949867249 9.10042762756348 9.05852007865906 9.11448240280151
-400 9.16610264778137 9.15677738189697 9.31792974472046 9.46007299423218 9.39785242080688 9.57529997825623 9.74372029304504 9.72125482559204 9.76419997215271 9.43837022781372 9.43060493469238 9.48335480690002
-375 9.59252262115479 9.58987021446228 9.7663950920105 9.84919762611389 9.81549286842346 9.97932028770447 10.1372299194336 10.1608154773712 10.1460247039795 9.82195210456848 9.84589529037476 9.87867522239685
-350 10.0280797481537 10.000232219696 10.2516069412231 10.3459048271179 10.2215728759766 10.398122549057 10.5610475540161 10.5806703567505 10.598997592926 10.2445499897003 10.2963974475861 10.2947795391083
-325 10.5416297912598 10.4836928844452 10.795702457428 10.8190023899078 10.7024748325348 10.8989951610565 11.0120525360107 11.0460550785065 11.0984752178192 10.7296705245972 10.7937524318695 10.7217297554016
-300 11.0203001499176 11.0098347663879 11.3138248920441 11.3591477870941 11.2304999828339 11.4596819877625 11.5329473018646 11.5742952823639 11.6338796615601 11.2676427364349 11.3110475540161 11.3443653583527
-275 11.6548247337341 11.6117975711823 11.9102821350098 11.9471497535706 11.8794596195221 12.0241024494171 12.1768226623535 12.158579826355 12.1880180835724 11.8337275981903 11.8963203430176 11.9756751060486
-250 12.4040656089783 12.1702725887299 12.558397769928 12.5407404899597 12.6638548374176 12.3473727703094 12.7043452262878 12.7414774894714 12.7241823673248 12.5385751724243 12.556645154953 12.8708000183105
-225 13.0932250022888 13.0144002437592 13.5204999446869 13.3308045864105 13.481104850769 13.1627299785614 13.5255320072174 13.5475797653198 13.5330843925476 13.3183972835541 13.0061976909637 13.6415748596191
-200 14.1581251621246 13.9655723571777 14.1507952213287 14.1896498203278 14.3702774047852 14.238920211792 14.5925223827362 14.4764022827148 14.5140748023987 14.2393522262573 14.1895048618317 14.5586497783661
-175 15.1384000778198 15.00230717659 15.3400297164917 15.3320450782776 15.524924993515 15.2733702659607 15.6476702690125 15.5395045280457 15.4980976581573 15.2245726585388 15.2606749534607 15.7721548080444
-150 16.3800568580627 16.3154525756836 16.591504573822 16.6999225616455 16.8545746803284 16.5195021629333 16.7955222129822 16.7044749259949 16.6605277061462 16.42640209198 16.474395275116 17.0680198669434
-125 18.457700252533 18.3405747413635 18.1631245613098 18.1850452423096 18.1966342926025 17.9330477714539 18.2479748725891 18.2174501419067 18.0104050636292 17.8315525054932 18.3106546401978 19.2073750495911
-105 20.5311207771301 20.5352478027344 19.948431968689 19.9606251716614 19.8452706336975 19.5799999237061 19.942099571228 19.9780955314636 19.8700704574585 19.737829208374 20.3019704818726 21.4977221488953
-95 20.9966497421265 20.9177722930908 20.2637453079224 20.2721972465515 20.2878570556641 19.9555549621582 20.3331451416016 20.3643727302551 20.2913770675659 20.1692924499512 20.795117855072 21.9085502624512
-90 21.4546794891357 21.2568249702454 20.678572177887 20.6178255081177 20.6576523780823 20.3687224388123 20.7743000984192 20.7741751670837 20.7420926094055 20.6167182922363 21.2925000190735 22.2961025238037
-85 21.8660449981689 21.644097328186 21.0420842170715 21.0134778022766 21.0759229660034 20.7809472084045 21.2459273338318 21.2213249206543 21.2080931663513 21.09241771698 21.914324760437 22.7352247238159
-80 22.3104224205017 21.9796199798584 21.3855223655701 21.3719797134399 21.4702825546265 21.2199201583862 21.6877980232239 21.7506728172302 21.6796998977661 21.5931797027588 22.6053700447083 23.2263679504395
-75 22.7285752296448 22.2619795799255 21.7402973175049 21.722592830658 21.8918023109436 21.6719479560852 22.2289547920227 22.3379802703857 22.2505903244019 22.2439546585083 23.3114728927612 23.6585750579834
-70 23.0177321434021 22.4879822731018 21.9965324401855 22.0898222923279 22.2674479484558 22.1773495674133 22.7273049354553 23.0652451515198 22.8446002006531 22.9897704124451 23.9260249137878 23.933452129364
-65 23.3237023353577 22.6767249107361 22.2470455169678 22.5066246986389 22.6617221832275 22.7180500030518 23.2566275596619 23.7196183204651 23.5379223823547 23.8482475280762 24.5084095001221 24.1548199653625
-60 23.5210700035095 22.8707723617554 22.5238947868347 22.9577550888062 23.0989952087402 23.333975315094 23.8260521888733 24.3628520965576 24.3881521224976 24.6493248939514 24.9749293327332 24.3736004829407
-55 23.6789698600769 23.0100274085999 22.7973799705505 23.3431973457336 23.6291770935059 23.947949886322 24.4265246391296 25.1660299301147 25.3183245658875 25.382504940033 25.4447498321533 24.4853520393372
-50 23.7377591133118 23.1326775550842 23.0913949012756 23.8628096580505 24.1549429893494 24.6360273361206 25.0287752151489 25.8447523117065 26.0716252326965 25.9612998962402 25.9428253173828 24.6024570465088
-45 23.8182549476624 23.2613201141357 23.3716425895691 24.3241701126099 24.7934699058533 25.4498229026794 25.913697719574 26.5118293762207 27.0052223205566 26.6631202697754 26.3155274391174 24.6762452125549
-40 23.8565301895142 23.3875956535339 23.6407203674316 24.7270927429199 25.3213195800781 26.2275071144104 26.8798723220825 27.2625751495361 27.6359925270081 27.0893301963806 26.4608025550842 24.776177406311
-35 23.9068293571472 23.4704022407532 23.9364247322083 25.1399273872375 25.9182472229004 27.1011528968811 27.6900229454041 27.8975496292114 28.0732002258301 27.461902141571 26.5302519798279 24.9011797904968
-30 23.9468722343445 23.5707225799561 24.2168297767639 25.5663928985596 26.5036044120789 27.8751997947693 28.2705793380737 28.2287344932556 28.4090480804443 27.7016072273254 26.5469450950623 24.9772162437439
-25 23.9830226898193 23.656090259552 24.5004224777222 26.0111699104309 27.0415949821472 28.4351177215576 28.783700466156 28.5136051177979 28.595419883728 27.8612251281738 26.5764293670654 24.9739904403687
-20 23.9761953353882 23.7132225036621 24.6526479721069 26.4165472984314 27.5968046188354 28.7577981948853 28.9210977554321 28.6418752670288 28.6965932846069 27.9404253959656 26.5857729911804 24.9582071304321
-15 24.008852481842 23.7908272743225 24.8892774581909 26.74072265625 28.0691952705383 28.9456930160522 29.0611500740051 28.7489175796509 28.7832498550415 27.9621524810791 26.5974798202515 24.975625038147
-10 24.0366702079773 23.8520526885986 25.1465182304382 26.939772605896 28.4176654815674 29.0644159317017 29.1187047958374 28.8691725730896 28.8235001564026 27.9889998435974 26.6030979156494 24.9957499504089
-5 24.0850977897644 23.9041953086853 25.2874298095703 27.094202041626 28.5752725601196 29.1116275787354 29.1397223472595 28.9016075134277 28.8772950172424 28.0143475532532 26.6143774986267 25.0415244102478
-1.25 24.1019024848938 23.9337749481201 25.3537473678589 27.1429471969604 28.5924296379089 29.1325950622559 29.1487727165222 28.8900475502014 28.9195408821106 28.0072999000549 26.6151428222656 25.1071548461914
