"DOY" "Depth" "Bio"
265 25 0.000901442307389937
4 25 0.000464894775157233
45 25 0.000691672713836478
77 25 0.00084134615408805
102 25 0.00117493650235849
128 25 0.000301614658805031
163 25 0.000645410014150943
205 25 0.00137518142216981
351 25 0.00040820029009434
2 25 2.72133529874214e-05
45 25 0.000569439404874214
65 25 0.00141736211871069
99 25 0.00125294811320755
127 25 0.00142824745990566
190 25 0.00207955370125786
221 25 0.00218183055188679
293 25 0.00062273222091195
44 25 0.00111688134984277
107 25 0.00179154571855346
160 25 0.00136633708254717
186 25 0.00168949564622642
265 25 0.00209769593632075
292 25 0.00173485123349057
