"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-493.75 2.16789901256561 2.15652844309807 2.20505413413048 2.11324179172516 2.21236300468445 2.14345848560333 2.13857120275497 2.07369455695152 2.16839930415154 2.34243538975716 2.15701588988304 2.14436501264572
-475 1.97622734308243 2.00277532637119 2.03911700844765 1.91228143870831 2.02303673326969 1.96677847206593 1.92354303598404 1.97725246846676 1.95341743528843 2.15157321095467 1.95871432125568 1.94698615372181
-450 1.78494346141815 1.79295715689659 1.85487176477909 1.72602596879005 1.88268205523491 1.78691825270653 1.72951151430607 1.82359008491039 1.75271554291248 1.87578302621841 1.75802756845951 1.76842156052589
-425 1.6231986284256 1.64905774593353 1.66614963114262 1.55936297774315 1.67561088502407 1.58837780356407 1.5323199480772 1.66392901539803 1.55512034893036 1.80650043487549 1.56240598857403 1.58273746073246
-400 1.47178770601749 1.49413196742535 1.48428040742874 1.3799242824316 1.40073189139366 1.4004640430212 1.36414168775082 1.49764643609524 1.38854724168777 1.63184314966202 1.38026218116283 1.40232391655445
-375 1.30413660407066 1.31218029558659 1.31070360541344 1.22565914690495 1.20650504529476 1.24435324966908 1.20701843500137 1.35044801235199 1.22911158204079 1.46169422566891 1.23426258563995 1.23419165611267
-350 1.14178429543972 1.12692764401436 1.1448744982481 1.10613471269608 1.0527166724205 1.10399712622166 1.0532608628273 1.20360265672207 1.08129908144474 1.22178895771503 1.08429597318172 1.07346593588591
-325 0.997669368982315 0.978679411113262 0.991509974002838 0.962221644818783 0.911969766020775 0.953653752803802 0.89511352032423 1.04159123450518 0.923685401678085 1.12666487693787 0.900608234107494 0.918646723031998
-300 0.828763023018837 0.84168404340744 0.836287893354893 0.798698030412197 0.782026953995228 0.785786367952824 0.760677590966225 0.851356513798237 0.751790650188923 1.01129768043756 0.713780157268047 0.788985587656498
-275 0.686674751341343 0.694127850234509 0.690484695136547 0.665033906698227 0.62187559902668 0.664940766990185 0.644060738384724 0.69768762588501 0.657757773995399 0.865772418677807 0.65657951682806 0.649211741983891
-250 0.543464429676533 0.559680707752705 0.53619909286499 0.535495184361935 0.52577431499958 0.548168823122978 0.513592820614576 0.562737576663494 0.552240312099457 0.718240328133106 0.491559606045485 0.533116362988949
-225 0.44026356190443 0.451753940433264 0.434479013085365 0.416421286761761 0.408427968621254 0.453460335731506 0.386971525847912 0.436465054750443 0.44197366014123 0.424252897500992 0.361152958124876 0.41783219575882
-200 0.31343350559473 0.352512318640947 0.360765960067511 0.306935008615255 0.316145226359367 0.292884862050414 0.29993188008666 0.316783167421818 0.332697294652462 0.316299095749855 0.269164944067597 0.351517405360937
-175 0.247869458049536 0.280984546989202 0.231577696278691 0.233436807990074 0.221658874303102 0.209004029631615 0.226073201745749 0.246344372630119 0.257216023281217 0.215954400599003 0.200951628386974 0.255418010056019
-150 0.17523193731904 0.206472581252456 0.169717421755195 0.170854456722736 0.158268317580223 0.148257244378328 0.173154504969716 0.200771728530526 0.219520848244429 0.181405084207654 0.151653718203306 0.189742302522063
-125 0.135345811024308 0.156023395247757 0.116572975181043 0.1040691556409 0.110355651937425 0.104903635568917 0.115574865601957 0.179781189188361 0.152160238474607 0.110708489082754 0.112944561988115 0.127574760466814
-105 0.0931494729593396 0.122368453070521 0.0812478940933943 0.0841832710430026 0.0886708199977875 0.0783138191327453 0.0765445954166353 0.151011723093688 0.102304372005165 0.156022573821247 0.0704982676543295 0.0723756840452552
-95 0.0906947311013937 0.121789580211043 0.0775084560737014 0.0793803278356791 0.0864648651331663 0.07482073828578 0.0671957586891949 0.140322383493185 0.0868768850341439 0.173057371750474 0.0624068765901029 0.0642915954813361
-90 0.0989954881370068 0.116959935054183 0.0744824362918735 0.0771549409255385 0.0857726400718093 0.0728485453873873 0.060813152231276 0.137696898542345 0.087117831222713 0.169594017788768 0.0571450358256698 0.0583462938666344
-85 0.0967064592987299 0.113701940514147 0.0767125356942415 0.0746905198320746 0.0852464437484741 0.0695521812886 0.057203745469451 0.138090307824314 0.0840528644621372 0.164530336856842 0.0534215802326798 0.0573250381276011
-80 0.0963464789092541 0.108971690759063 0.0740334074944258 0.0745003018528223 0.08471261523664 0.06801070086658 0.0602427157573402 0.139123795554042 0.0914594493806362 0.168905574828386 0.0513722929172218 0.0572484880685806
-75 0.0949836326763034 0.105779986828566 0.0725585408508778 0.0656053768470883 0.0849464982748032 0.0662799086421728 0.0552160399965942 0.142689142376184 0.0909952474758029 0.166897110641003 0.0507104336284101 0.0577952889725566
-70 0.0920817814767361 0.103643603622913 0.0720116905868053 0.0663998071104288 0.0833999263122678 0.0672441041097045 0.0538711929693818 0.151079148054123 0.0764958625659347 0.163072349503636 0.0521024041809142 0.0590547984465957
-65 0.0941133070737123 0.10275945905596 0.0734967961907387 0.0664825211279094 0.083797468803823 0.0710083777084947 0.0512537294998765 0.154485201463103 0.0765797994099557 0.127346565015614 0.0523289367556572 0.0600762153044343
-60 0.0950021836906672 0.103185201995075 0.0757783511653543 0.066535634920001 0.0813792543485761 0.0705889519304037 0.056760563980788 0.149029770866036 0.0901398546993732 0.134478104300797 0.05227882694453 0.0602766564115882
-55 0.0973928682506084 0.0950958924368024 0.0769051304087043 0.0721867932006717 0.0819096770137548 0.0737118320539594 0.0579202007502317 0.149602446705103 0.0910107521340251 0.150292891077697 0.0544712566770613 0.0611307304352522
-50 0.101702871732414 0.100571876391768 0.0775909647345543 0.077636188827455 0.0858296360820532 0.0788072142750025 0.0628331038169563 0.150124719366431 0.0900523858144879 0.153406438417733 0.0649117035791278 0.0607651406899095
-45 0.101364529691637 0.0987425418570638 0.0775248166173697 0.0789662227034569 0.0868207952007651 0.0809739576652646 0.0623245388269424 0.154509412124753 0.0860157208517194 0.152675899676979 0.0676047657616436 0.0618279031477869
-40 0.105886239558458 0.100161989219487 0.0812667682766914 0.0851642210036516 0.0905014686286449 0.0864718509837985 0.0657116882503033 0.155572831630707 0.0921279150061309 0.159298838116229 0.0510527258738875 0.0615813117474318
-35 0.106231883168221 0.101116561330855 0.0824250904843211 0.0864058881998062 0.0940027376636863 0.0861110584810376 0.0671877223066986 0.159034905955195 0.0626679258421063 0.162786010652781 0.0521229603327811 0.062294989824295
-30 0.106332884170115 0.101229120977223 0.0829860558733344 0.0871415454894304 0.096147321164608 0.0869477763772011 0.0674557192251086 0.162623753771186 0.0867879688739777 0.163138104602695 0.0505237812176347 0.0643146494403481
-25 0.107082787901163 0.101210324093699 0.0858325324952602 0.0875828778371215 0.0971195138990879 0.0899078426882625 0.0652556153945625 0.165975037962198 0.0871452819555998 0.165677582845092 0.0510034481994808 0.0601442097686231
-20 0.104141996242106 0.102320313453674 0.0882094148546457 0.089245056733489 0.102362524718046 0.0859742304310203 0.062964778393507 0.169102052226663 0.070281676016748 0.165243620052934 0.0539910565130413 0.0553267658688128
-15 0.109435531310737 0.100864981301129 0.0928254928439856 0.0885732565075159 0.106059874407947 0.087718210183084 0.0652805035933852 0.173575848340988 0.0703630866482854 0.161819634959102 0.052883839700371 0.0536369364708662
