"DOY" "Depth" "SIZE10" "SIZE3" "SIZE1" "SIZE_L1"
31 4.8 0.111111111111111 0.138888888888889 0.472222222222222 0.277777777777778
31 15.1 0.105263157894737 0.131578947368421 0.447368421052632 0.315789473684211
31 24.8 0.0731707317073171 0.146341463414634 0.48780487804878 0.292682926829268
31 34.6 0.108108108108108 0.135135135135135 0.378378378378378 0.378378378378378
31 45 0.0952380952380952 0.142857142857143 0.5 0.261904761904762
31 64.3 0.111111111111111 0.148148148148148 0.518518518518518 0.222222222222222
31 80.1 0.0967741935483871 0.129032258064516 0.516129032258065 0.258064516129032
31 100.1 0.15 0.15 0.5 0.2
31 125 0.181818181818182 0.181818181818182 0.454545454545455 0.181818181818182
33 5 0.0645161290322581 0.0967741935483871 0.387096774193548 0.451612903225806
33 14.7 0.0540540540540541 0.135135135135135 0.486486486486486 0.324324324324324
33 30.4 0.0606060606060606 0.121212121212121 0.424242424242424 0.393939393939394
33 50.5 0.0606060606060606 0.151515151515152 0.424242424242424 0.363636363636364
33 60.4 0.0645161290322581 0.161290322580645 0.419354838709677 0.354838709677419
33 70.3 0.0645161290322581 0.129032258064516 0.483870967741935 0.32258064516129
33 85.4 0.0714285714285714 0.142857142857143 0.428571428571428 0.357142857142857
33 99 0.0909090909090909 0.181818181818182 0.545454545454545 0.181818181818182
33 124 0.142857142857143 0.142857142857143 0.5 0.214285714285714
39 5.5 0.0638297872340425 0.127659574468085 0.425531914893617 0.382978723404255
39 15.6 0.104166666666667 0.125 0.375 0.395833333333333
39 30.9 0.106382978723404 0.106382978723404 0.382978723404255 0.404255319148936
39 50.4 0.0869565217391304 0.130434782608696 0.347826086956522 0.434782608695652
39 59.6 0.0930232558139535 0.116279069767442 0.441860465116279 0.348837209302326
39 70.4 0.0888888888888889 0.133333333333333 0.4 0.377777777777778
39 84.4 0.09375 0.125 0.4375 0.34375
39 100.4 0.2 0.2 0.4 0.2
39 125.9 0 0 0.5 0.5
40 5.1 0.0625 0.125 0.46875 0.34375
41 5.7 0.1 0.12 0.4 0.38
41 20.2 0.0833333333333333 0.1875 0.4375 0.291666666666667
41 34.8 0.0833333333333333 0.166666666666667 0.416666666666667 0.333333333333333
41 50.1 0.075 0.15 0.5 0.275
41 60 0.0714285714285714 0.166666666666667 0.476190476190476 0.285714285714286
41 80 0.0625 0.125 0.4375 0.375
41 94.9 0.2 0.2 0.4 0.2
41 100.9 0 0.25 0.5 0.25
41 125.3 0 0 1 0
41 5.9 0.08 0.16 0.46 0.3
313 70 0 0.0476190476190476 0.285714285714286 0.666666666666667
313 125.4 0.0555555555555556 0.0555555555555556 0.5 0.388888888888889
313 149.8 0 0 0.75 0.25
313 9.8 0 0.125 0.25 0.625
313 34.8 0 0.125 0.25 0.625
313 54.2 0.0588235294117647 0.117647058823529 0.294117647058824 0.529411764705882
313 65.3 0.05 0.05 0.25 0.65
313 79 0.0434782608695652 0.0869565217391304 0.434782608695652 0.434782608695652
313 94.8 0.04 0.04 0.4 0.52
313 109.8 0.037037037037037 0.037037037037037 0.37037037037037 0.555555555555555
311 89.8 0.0625 0.0625 0.5 0.375
311 49.4 0.0769230769230769 0.0769230769230769 0.307692307692308 0.538461538461539
311 10 0.0833333333333333 0.0833333333333333 0.25 0.583333333333333
311 90.9 0.0294117647058824 0.0294117647058824 0.294117647058824 0.647058823529412
311 125.3 0.0769230769230769 0 0.461538461538462 0.461538461538462
311 9.6 0.111111111111111 0.111111111111111 0.333333333333333 0.444444444444444
311 29.8 0 0.142857142857143 0.285714285714286 0.571428571428571
311 50.4 0 0.0909090909090909 0.363636363636364 0.545454545454545
311 65.1 0.0476190476190476 0.0476190476190476 0.333333333333333 0.571428571428571
311 75.8 0.0434782608695652 0.0869565217391304 0.434782608695652 0.434782608695652
311 91.1 0.0294117647058824 0.0588235294117647 0.411764705882353 0.5
311 105.7 0.0434782608695652 0.0434782608695652 0.434782608695652 0.478260869565217
48 100.9 0.552631578947368 0.171052631578947 0.184210526315789 0.0921052631578947
