"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12" "M13" "M14" "M15" "M16" "M17" "M18" "M19" "M20" "M21" "M22" "M23" "M24" "M25" "M26" "M27" "M28" "M29" "M30" "M31" "M32" "M33" "M34" "M35" "M36"
-4277.36945186049 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-3929.93458928409 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-3629.95419303799 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-3370.51828815168 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-3145.58077903657 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-2949.80450663748 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-2778.42486600869 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-2627.12007475185 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-2491.89203634131 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
-2368.9572975008 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06 9.99999974737875e-06
