"DOY" "Depth" "C2N"
50 71.8 7.1487603305785
50 126.4 18.4166666666667
50 148.4 12.8318584070797
50 177.6 11.9672131147541
50 247.7 15.625
139 1.3 6.0294117647059
139 20.8 7.3
139 40.9 6.68941979522186
139 73.5 7.30941704035876
139 98.2 6.8014705882353
139 125.2 5.5023923444976
139 149.8 5.51020408163267
139 174.6 6.49350649350649
200 7.6 7.33788395904436
200 27.8 7.54152823920267
200 47.4 7.94478527607361
200 76.2 9.63302752293576
200 105 6.73728813559321
200 129.8 5.26829268292682
200 154.2 7.67123287671232
200 180.7 8.45238095238092
231 6.1 6.18296529968454
231 26.3 6.03448275862068
231 46.9 5.74193548387095
231 77.2 5.70422535211266
231 103.2 5.68181818181818
231 130.1 4.61187214611872
231 156.9 6.2295081967213
231 183.6 5.56701030927834
263 78 5.92964824120604
263 104.1 7.63713080168776
263 155.7 6.37931034482758
263 181 9.01098901098898
293 25.1 9.77961432506883
293 45.3 8.98089171974526
293 75.7 8.64541832669322
293 101.3 9.07643312101913
293 128.2 10.6698564593301
293 155.6 10.5714285714286
293 183.2 8.82352941176473
19 4.9 9.55801104972379
19 25.5 9.41176470588235
19 25.4 10.8
19 25.6 9.31034482758624
19 46.1 8.61111111111108
19 75.6 8.17708333333335
19 102.1 11.0091743119266
19 102 11.9791666666667
19 126.7 11.9047619047619
19 154 9.27536231884058
19 179.5 9.34426229508198
50 6.4 6.74418604651161
50 25.6 7.45019920318727
50 45.9 6.91176470588234
50 76.1 6.63082437275985
50 125.9 8.36601307189543
50 153.3 9.40476190476187
50 178.8 12.4489795918367
78 4.7 6.46853146853145
78 24.6 6.66666666666667
78 44.2 6.67832167832168
78 73.7 4.6
78 104.3 6.36029411764704
78 128.9 5.55555555555556
78 152.2 5.98484848484847
78 176 4.87394957983194
109 6.4 6.73333333333331
109 6.3 6.54723127035831
110 6.3 6.87898089171976
110 31.1 6.84039087947884
110 31 7.00636942675158
110 45.6 6.45051194539249
110 75.7 7.26086956521737
110 101.5 7.03703703703702
