"DOY" "Depth" "SIZE_L1"
24 5.4 0.193548387096774
24 15.3 0.121212121212121
24 24.7 0.193548387096774
24 35.3 0.178571428571429
24 45.1 0.214285714285714
24 60.3 0.214285714285714
24 69.5 0.172413793103448
24 100.1 0.133333333333333
24 125.9 0
25 5 0.228571428571429
45 5.8 0.25
46 4.6 0.27906976744186
46 10.1 0.261904761904762
46 25.4 0.255813953488372
46 30.5 0.222222222222222
46 39.3 0.155555555555556
46 54.6 0.186046511627907
46 69.4 0.214285714285714
46 99.9 0.170731707317073
46 125.2 0.216216216216216
301 48.9 0.08
301 59.2 0.111111111111111
301 80 0
301 6.1 0.208955223880597
301 9.9 0.193548387096774
301 14.6 0.206896551724138
301 19.1 0.294117647058824
301 28.9 0.181818181818182
301 40.5 0.241935483870968
301 44.7 0.15
299 44.6 0.119047619047619
299 30.4 0.15
299 5 0.3
298 5.4 0.125
298 9.9 0.0847457627118644
298 19.5 0.254237288135593
298 30.2 0.2
298 34.8 0.155555555555556
298 44.7 0.142857142857143
298 54.1 0.0526315789473684
60 5.2 0.243243243243243
60 15.3 0.0975609756097561
60 30.7 0.222222222222222
60 39.9 0.171428571428571
60 50.1 0.157894736842105
60 65.4 0.263157894736842
60 75.5 0.305555555555556
56 100.3 0.125
56 125.6 0
56 150.3 0
56 4.9 0.138888888888889
56 15.1 0.0975609756097561
56 30.7 0.108108108108108
56 40.4 0.105263157894737
56 50 0.15
56 65 0.147058823529412
56 74.6 0.175
112 19.7 0.163265306122449
112 40.2 0.159090909090909
112 79.3 0.222222222222222
112 99.7 0.181818181818182
112 124.7 0
112 5 0.225
112 9.1 0.244444444444444
112 25.1 0.205128205128205
112 29.3 0.235294117647059
112 34.9 0.225
112 44 0.24390243902439
112 59.4 0.242424242424242
110 59.8 0.264705882352941
110 29 0.222222222222222
110 5.1 0.25
110 19.2 0.216216216216216
110 39.2 0.25
110 79.5 0.230769230769231
110 100.3 0.166666666666667
110 125.6 0
110 5.1 0.210526315789474
110 9.6 0.176470588235294
110 24.3 0.235294117647059
110 29.3 0.235294117647059
110 34.6 0.228571428571429
110 44 0.25
110 59.3 0.25
188 11.9 0.270588235294118
188 45.1 0.194915254237288
188 70.3 0.157894736842105
188 100.2 0
188 125.2 0
188 3.3 0.120481927710843
188 6.5 0.129411764705882
188 14.8 0.175824175824176
188 19.7 0.24031007751938
188 24.7 0.0833333333333333
188 27.9 0.234848484848485
188 35.7 0.111940298507463
185 25.2 0.0827067669172932
185 3 0.165413533834586
185 12.4 0.135593220338983
185 50 0.12
185 75.3 0.0833333333333333
185 100.6 0
185 125.7 0
185 3.2 0.134615384615385
185 7 0.114285714285714
185 15 0.130769230769231
185 20.2 0.0780141843971631
185 25.2 0.0887096774193548
185 27.9 0.0884955752212389
185 38 0.135416666666667
181 55.6 0.13953488372093
181 70.6 0.142857142857143
181 85.7 0
181 5.6 0.106796116504854
181 9.6 0.0882352941176471
181 14.8 0.0776699029126214
181 19.9 0.0833333333333333
181 25.2 0.201923076923077
181 30.1 0.177570093457944
181 40.2 0.155339805825243
162 13.1 0.173469387755102
162 50.4 0.32
162 75 0.3
162 2.9 0.0761904761904762
162 6.9 0.301075268817204
162 15.6 0.0864197530864198
162 22.5 0.229885057471264
162 26.7 0.234234234234234
162 30.3 0.368421052631579
162 40.2 0.178082191780822
165 16 0.25
165 55.2 0.342105263157895
165 80.2 0.230769230769231
165 4.1 0.320754716981132
165 7.3 0.176470588235294
165 20.3 0.338983050847458
165 26.1 0.306451612903226
165 30.8 0.28125
165 35.2 0.169230769230769
165 45.1 0.30188679245283
165 45.2 0.395348837209302
165 31 0.385964912280702
165 4.4 0.338028169014085
