"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-275 0.481529721582774 0.441176460299175 0.444672063167673 0.449089275207371 0.458698472357355 0.465652643470094 0.467959645902738 0.470550126919989 0.474699998449069 0.479720227303915 0.48526756290812 0.490135702420957
-246 0.463022144685965 0.431864536949433 0.43933249253314 0.444323457486462 0.454701621492859 0.462629963294603 0.464755270513706 0.466161560325418 0.469370053906459 0.473999716632534 0.478915302664973 0.482876588648651
-220 0.425345322582871 0.426415805122815 0.436104135587811 0.440849689766765 0.451398300356232 0.460380164440721 0.462188079836778 0.46191643923521 0.463382217276376 0.466845296614338 0.470712831884157 0.468796359200496
-198 0.404121004976332 0.423558260081336 0.434119174315128 0.438138886238448 0.448514147137757 0.458486203569919 0.459862596471794 0.458012567833066 0.457763584563509 0.45997962297406 0.462970645457972 0.452668587968219
-179 0.395824492443353 0.421939163061325 0.43281808757456 0.435597859905101 0.445748490164988 0.456670539279003 0.457440517493524 0.454301429272164 0.452657171990722 0.453784632554743 0.456060442957096 0.439826733781956
-162 0.39282030047616 0.420937052695081 0.431832057074644 0.432982655183878 0.442844888311811 0.454716275271494 0.454788285424002 0.450512343377341 0.447815051302314 0.447935002739541 0.44949274888495 0.427954000770114
-147 0.391428970033303 0.42026060691569 0.431030457548331 0.430484535172582 0.439880139310844 0.452683299954515 0.452051885076798 0.446640682639554 0.443008859292604 0.44215807429282 0.439768678916153 0.405025864893105
-133 0.390552864701021 0.419706477259751 0.430275969847571 0.427969644078985 0.43672340689227 0.45033387868898 0.448964943643659 0.44230576895643 0.437543232692406 0.435850008216221 0.422298806370236 0.382570135116111
-120 0.389944907510653 0.419231459090952 0.429543768404983 0.425481550337281 0.43334156362107 0.447418351541273 0.445296645921189 0.437380891526118 0.431247164669912 0.428701045166235 0.409412168664858 0.375572344637476
-108 0.389517401345074 0.418860618083272 0.42882256093435 0.423088778916281 0.429777908721007 0.443770353740547 0.440800162323285 0.431600761658046 0.424013727752026 0.420364500314463 0.397923402488232 0.37394133687485
-97 0.389214335882571 0.418558425735682 0.428120925789699 0.420906777435448 0.426149992563296 0.43905978964176 0.435115478467196 0.424586774897762 0.415642738516908 0.408088104450144 0.380267949367408 0.373176015273202
-87 0.388955020753201 0.418280600570142 0.427455328463111 0.418988500314299 0.422437842644285 0.433137960499153 0.427999169914983 0.415831804275513 0.405836624850053 0.395847215258982 0.372399030311499 0.372684509784449
-78 0.388726853998378 0.418020128563512 0.42684176878538 0.417344854213297 0.418504074332304 0.425780403020326 0.418962197727524 0.404887447075453 0.394140195567161 0.384548395231832 0.369055494957138 0.372330330719706
-70 0.388526008464396 0.417786155594513 0.426303216954693 0.415972877817694 0.414348440244794 0.417859919252805 0.408986867114436 0.393497641198337 0.381458557967562 0.375124982383568 0.368032364349347 0.372053582395893
-62 0.388333493901882 0.417551062128041 0.425776328484062 0.414714835642371 0.411000342865009 0.412066117860377 0.403190621000249 0.387670428608544 0.372428352420684 0.368363202142064 0.367435415682849 0.371808506315574
-54 0.388160064176191 0.417317372921389 0.42526975448709 0.41359963506693 0.40950551192509 0.412161170970649 0.404908794735093 0.389296306821052 0.374746385205071 0.369286892237142 0.367038046533708 0.371612477465533
-46 0.388017913792282 0.417086499510333 0.424791403929703 0.412658344430383 0.408918829634786 0.413114794355351 0.406861734518316 0.390963687095791 0.377690972527489 0.370240355550777 0.36678552714875 0.371472990082111
-38.5 0.387899242923595 0.416875293012708 0.424383099016268 0.411965243984014 0.408672945923172 0.413628258684184 0.407180516049266 0.391359593777452 0.379037730454002 0.370260990166571 0.366633095836733 0.371375186659861
-32 0.387804240745027 0.416705792304128 0.424081161327194 0.411527114920318 0.408572574087884 0.413739922805689 0.407321080274414 0.39158731669886 0.379209988750517 0.370237219613045 0.366549924365245 0.371312984498218
-26 0.387726591725368 0.416566574131139 0.423854347900487 0.411240187531803 0.408528816478793 0.413804868003353 0.407391809858382 0.391598870919552 0.37921080365777 0.370216221199371 0.366520820534788 0.371279311366379
-20.5 0.387665517337155 0.416454473452177 0.423689896706492 0.4110588633921 0.408513995353132 0.413846035371535 0.40742963028606 0.391602385207079 0.379199635062832 0.370191562979016 0.366511267202441 0.371257345250342
-15.5 0.387617474189028 0.416364775446709 0.423571931605693 0.410942520829849 0.408511012210511 0.413873487559613 0.407452796935104 0.391602967283688 0.37918674206594 0.370168934750836 0.366510234016459 0.37124332448002
-11 0.387580817914568 0.416295326431282 0.423490469984245 0.410873646615073 0.408515079470817 0.413893103541341 0.407469597121235 0.391604444303084 0.379174322006293 0.370149427908473 0.366515414498281 0.371235830243677
-7 0.387553591281176 0.41624214645708 0.423432567913551 0.410832130000927 0.408520521887112 0.413907655456569 0.407480343710631 0.391597954148892 0.379158213036135 0.370132103853393 0.366524029232096 0.371232999896165
-3.5 0.38753442640882 0.416201968619134 0.423389821662568 0.410807304433547 0.40852565143723 0.41391777631361 0.407485887990333 0.391582056181505 0.379141827579588 0.37011769018136 0.36653447750723 0.371234214981087
-1 0.387760075682309 0.416425209550653 0.42354385368526 0.410816617659293 0.408441723266151 0.413778507208917 0.4074022435816 0.391503977880348 0.379065590095706 0.370055022358429 0.366589338227641 0.371458787412848
