"DOY" "Depth" "N2C"
301 0 0.163934426229508
301 10 0.185185185185185
301 20 0.192307692307692
301 30 0.172413793103448
301 50 0.172413793103448
301 100 0.123456790123457
301 150 0.149253731343284
301 200 0.136986301369863
56 0 0.151515151515152
56 10 0.185185185185185
56 30 0.161290322580645
56 50 0.163934426229508
56 100 0.166666666666667
56 150 0.138888888888889
56 200 0.12987012987013
110 10 0.172413793103448
110 20 0.158730158730159
110 50 0.172413793103448
110 75 0.144927536231884
110 100 0.126582278481013
110 150 0.147058823529412
110 200 0.105263157894737
185 10 0.175438596491228
185 30 0.166666666666667
185 50 0.153846153846154
185 75 0.161290322580645
185 100 0.140845070422535
185 150 0.138888888888889
185 200 0.147058823529412
