"DOY" "Depth" "SIZE1"
24 5.4 0.419354838709677
24 15.3 0.484848484848485
24 24.7 0.419354838709677
24 35.3 0.392857142857143
24 45.1 0.392857142857143
24 60.3 0.392857142857143
24 69.5 0.379310344827586
24 100.1 0.466666666666667
24 125.9 0
25 5 0.314285714285714
45 5.8 0.3
46 4.6 0.302325581395349
46 10.1 0.357142857142857
46 25.4 0.348837209302326
46 30.5 0.333333333333333
46 39.3 0.4
46 54.6 0.395348837209302
46 69.4 0.357142857142857
46 99.9 0.439024390243902
46 125.2 0.351351351351351
301 48.9 0.6
301 59.2 0.611111111111111
301 80 0.333333333333333
301 6.1 0.597014925373134
301 9.9 0.596774193548387
301 14.6 0.586206896551724
301 19.1 0.529411764705882
301 28.9 0.545454545454545
301 40.5 0.596774193548387
301 44.7 0.625
299 44.6 0.642857142857143
299 30.4 0.6
299 5 0.52
298 5.4 0.6875
298 9.9 0.644067796610169
298 19.5 0.525423728813559
298 30.2 0.509090909090909
298 34.8 0.6
298 44.7 0.542857142857143
298 54.1 0.526315789473684
60 5.2 0.297297297297297
60 15.3 0.439024390243902
60 30.7 0.388888888888889
60 39.9 0.428571428571428
60 50.1 0.394736842105263
60 65.4 0.263157894736842
60 75.5 0.305555555555556
56 100.3 0.416666666666667
56 125.6 0
56 150.3 0
56 4.9 0.444444444444444
56 15.1 0.536585365853659
56 30.7 0.405405405405405
56 40.4 0.421052631578947
56 50 0.4
56 65 0.411764705882353
56 74.6 0.4
112 19.7 0.306122448979592
112 40.2 0.295454545454545
112 79.3 0.333333333333333
112 99.7 0.272727272727273
112 124.7 0
112 5 0.35
112 9.1 0.333333333333333
112 25.1 0.307692307692308
112 29.3 0.294117647058824
112 34.9 0.3
112 44 0.292682926829268
112 59.4 0.242424242424242
110 59.8 0.323529411764706
110 29 0.277777777777778
110 5.1 0.277777777777778
110 19.2 0.378378378378378
110 39.2 0.388888888888889
110 79.5 0.384615384615385
110 100.3 0.333333333333333
110 125.6 0.333333333333333
110 5.1 0.184210526315789
110 9.6 0.411764705882353
110 24.3 0.352941176470588
110 29.3 0.323529411764706
110 34.6 0.342857142857143
110 44 0.333333333333333
110 59.3 0.34375
188 11.9 0.352941176470588
188 45.1 0.186440677966102
188 70.3 0.263157894736842
188 100.2 0.333333333333333
188 125.2 0
188 3.3 0.481927710843374
188 6.5 0.470588235294118
188 14.8 0.384615384615385
188 19.7 0.310077519379845
188 24.7 0.444444444444444
188 27.9 0.303030303030303
188 35.7 0.358208955223881
185 25.2 0.308270676691729
185 3 0.210526315789474
185 12.4 0.347457627118644
185 50 0.2
185 75.3 0.333333333333333
185 100.6 0.333333333333333
185 125.7 0
185 3.2 0.317307692307692
185 7 0.314285714285714
185 15 0.315384615384615
185 20.2 0.361702127659574
185 25.2 0.338709677419355
185 27.9 0.265486725663717
185 38 0.145833333333333
181 55.6 0.232558139534884
181 70.6 0.428571428571429
181 85.7 0.5
181 5.6 0.407766990291262
181 9.6 0.382352941176471
181 14.8 0.359223300970874
181 19.9 0.358333333333333
181 25.2 0.307692307692308
181 30.1 0.280373831775701
181 40.2 0.271844660194175
162 13.1 0.510204081632653
162 50.4 0.38
162 75 0.3
162 2.9 0.6
162 6.9 0.32258064516129
162 15.6 0.493827160493827
162 22.5 0.436781609195402
162 26.7 0.45945945945946
162 30.3 0.245614035087719
162 40.2 0.465753424657534
165 16 0.538461538461539
165 55.2 0.342105263157895
165 80.2 0.384615384615385
165 4.1 0.490566037735849
165 7.3 0.588235294117647
165 20.3 0.440677966101695
165 26.1 0.483870967741935
165 30.8 0.40625
165 35.2 0.507692307692308
165 45.1 0.377358490566038
165 45.2 0.372093023255814
165 31 0.43859649122807
165 4.4 0.450704225352113
