"DOY" "Depth" "SIZE10"
24 5.4 0.225806451612903
24 15.3 0.212121212121212
24 24.7 0.225806451612903
24 35.3 0.25
24 45.1 0.214285714285714
24 60.3 0.214285714285714
24 69.5 0.241379310344828
24 100.1 0.233333333333333
24 125.9 0.5
25 5 0.314285714285714
45 5.8 0.275
46 4.6 0.27906976744186
46 10.1 0.238095238095238
46 25.4 0.255813953488372
46 30.5 0.244444444444444
46 39.3 0.266666666666667
46 54.6 0.232558139534884
46 69.4 0.238095238095238
46 99.9 0.219512195121951
46 125.2 0.243243243243243
301 48.9 0.08
301 59.2 0.111111111111111
301 80 0.333333333333333
301 6.1 0.0447761194029851
301 9.9 0.0483870967741935
301 14.6 0.0344827586206897
301 19.1 0.0294117647058824
301 28.9 0.0454545454545454
301 40.5 0.032258064516129
301 44.7 0.075
299 44.6 0.0714285714285714
299 30.4 0.05
299 5 0.04
298 5.4 0.0625
298 9.9 0.0508474576271186
298 19.5 0.0847457627118644
298 30.2 0.0545454545454545
298 34.8 0.0666666666666667
298 44.7 0.114285714285714
298 54.1 0.105263157894737
60 5.2 0.297297297297297
60 15.3 0.24390243902439
60 30.7 0.222222222222222
60 39.9 0.228571428571429
60 50.1 0.289473684210526
60 65.4 0.315789473684211
60 75.5 0.222222222222222
56 100.3 0.291666666666667
56 125.6 0.5
56 150.3 0.5
56 4.9 0.25
56 15.1 0.195121951219512
56 30.7 0.27027027027027
56 40.4 0.263157894736842
56 50 0.275
56 65 0.264705882352941
56 74.6 0.275
112 19.7 0.224489795918367
112 40.2 0.25
112 79.3 0.166666666666667
112 99.7 0.272727272727273
112 124.7 0.5
112 5 0.15
112 9.1 0.177777777777778
112 25.1 0.205128205128205
112 29.3 0.205882352941176
112 34.9 0.275
112 44 0.24390243902439
112 59.4 0.242424242424242
110 59.8 0.205882352941177
110 29 0.25
110 5.1 0.25
110 19.2 0.162162162162162
110 39.2 0.138888888888889
110 79.5 0.192307692307692
110 100.3 0.25
110 125.6 0.333333333333333
110 5.1 0.184210526315789
110 9.6 0.205882352941176
110 24.3 0.176470588235294
110 29.3 0.176470588235294
110 34.6 0.171428571428571
110 44 0.25
110 59.3 0.1875
188 11.9 0.235294117647059
188 45.1 0.449152542372881
188 70.3 0.421052631578947
188 100.2 0.333333333333333
188 125.2 0.5
188 3.3 0.216867469879518
188 6.5 0.235294117647059
188 14.8 0.263736263736264
188 19.7 0.333333333333333
188 24.7 0.375
188 27.9 0.340909090909091
188 35.7 0.402985074626866
185 25.2 0.503759398496241
185 3 0.421052631578947
185 12.4 0.372881355932203
185 50 0.44
185 75.3 0.333333333333333
185 100.6 0.333333333333333
185 125.7 0.5
185 3.2 0.365384615384615
185 7 0.390476190476191
185 15 0.430769230769231
185 20.2 0.432624113475177
185 25.2 0.387096774193548
185 27.9 0.504424778761062
185 38 0.479166666666667
181 55.6 0.325581395348837
181 70.6 0.214285714285714
181 85.7 0.25
181 5.6 0.368932038834951
181 9.6 0.401960784313725
181 14.8 0.349514563106796
181 19.9 0.425
181 25.2 0.384615384615385
181 30.1 0.420560747663551
181 40.2 0.407766990291262
162 13.1 0.112244897959184
162 50.4 0.1
162 75 0.1
162 2.9 0.0857142857142857
162 6.9 0.10752688172043
162 15.6 0.148148148148148
162 22.5 0.103448275862069
162 26.7 0.0810810810810811
162 30.3 0.105263157894737
162 40.2 0.136986301369863
165 16 0.0576923076923077
165 55.2 0.0789473684210526
165 80.2 0.0769230769230769
165 4.1 0.0566037735849057
165 7.3 0.0784313725490196
165 20.3 0.0677966101694915
165 26.1 0.0645161290322581
165 30.8 0.09375
165 35.2 0.0923076923076923
165 45.1 0.0943396226415094
165 45.2 0.0465116279069767
165 31 0.0350877192982456
165 4.4 0.0422535211267606
