"DOY" "Depth" "DOC"
20 9.1 89.65
20 24.7 86.04
20 35.6 83.79
20 45.3 84.96
20 75.5 80.76
20 86.1 82.71
20 95.3 75.58
20 104 70.7
20 130.4 74.8
48 5.1 85.85
48 14.9 79.99
48 24.3 88.49
48 45.4 78.42
48 74.3 72.46
48 104.7 66.21
48 124.5 63.77
48 151.5 60.55
48 175.4 59.77
104 3.8 91.6
104 26 89.45
104 34.9 86.62
104 44.4 88.58
104 60.2 81.84
104 75.5 85.64
104 85.4 74.51
104 95.9 69.63
104 104.9 71.29
104 115 70.16
104 125 69.04
104 134.9 70.5
104 150.4 71.09
104 176.2 70.7
104 196.2 60.2
141 6.5 78.42
141 14.8 79.3
141 24.5 79.2
141 34.9 84.86
141 45 81.15
141 55.1 80.57
141 85 79.2
141 95.3 76.37
141 106.3 76.76
141 116.4 75.58
141 124.5 71.68
141 134.8 73.43
141 150.1 74.7
141 176.4 75.19
257 5.4 115.9
257 15.6 115.81
257 25.6 112.49
257 36.7 105.36
257 46.6 100.57
257 61.4 84.95
257 76.2 85.73
257 86.5 72.16
257 96.4 73.92
257 105.9 74.41
257 116.2 72.02
257 125.6 70.7
257 136.3 70.31
257 177.7 67.88
302 7.1 94.33
302 17.2 91.4
302 37.3 79.88
302 48.4 77.04
302 58.5 78.99
302 80.3 73.82
302 78.9 73.04
302 93.4 71.18
302 105.2 72.46
302 117.8 72.11
302 118.7 66.5
302 125 69.23
302 138.4 68.65
302 148.9 59.47
302 163.4 55.91
302 176.8 56.55
302 197.4 56.26
20 7.5 74.31
20 17.1 73.73
20 27.3 72.85
20 36.7 78.22
20 62.9 87.69
20 76.6 79.39
20 85.8 67.87
20 96.1 77.43
20 106.4 77.43
20 114.6 83.98
20 125.7 83.3
20 136.4 72.85
20 153.1 69.82
20 168.8 69.72
48 174.9 59.08
48 199 61.04
48 4.8 99.13
48 15 95.52
48 25.4 92.58
48 35 88.67
48 44.9 82.42
48 61.4 80.85
48 77.8 84.37
48 85.6 85.64
48 95.4 92.57
48 106.1 93.45
48 114.4 95.3
48 125.5 90.23
48 135.2 82.9
48 150.4 70.31
68 4.6 79.1
68 14.9 79.3
68 25.2 82.52
68 36.8 79.29
68 45.5 82.03
68 60.1 82.12
68 75 71.48
68 83.3 67.18
68 95.2 61.22
68 104.9 64.84
68 115.9 60.78
68 125.8 69.43
68 135 70.99
68 149.2 67.76
68 174.7 69.72
69 4.5 78.91
69 24.4 88.18
69 44.5 84.86
69 74.7 94.33
69 99.4 90.62
69 124.6 84.56
69 141 74.41
69 145.1 69.82
69 150 62.59
69 154.6 66.2
69 160.5 67.96
69 176.1 67.18
170 5.1 100.7
170 14.9 88.2
170 24.7 86.54
170 35.3 93.37
170 44.6 101.28
170 59.7 100.49
170 75.4 91.4
170 84.7 94.23
170 95.7 85.74
170 105.1 83.79
170 113.8 82.76
170 125.3 86.61
170 136.6 90.32
170 150.6 81.14
170 157.4 74.8
170 175.1 56.05
170 185.2 54.39
206 4.7 90.05
206 14.8 84.39
206 24.6 93.47
206 34.2 81.26
206 43.8 93.67
206 59.8 84.48
206 74.3 82.72
206 84.3 86.72
206 94.9 74.31
206 104.2 63.77
206 115.3 64.25
206 124.2 60.54
206 134.4 64.84
206 149.6 54.68
206 175 73.83
242 4.4 90.05
242 4.5 88.49
242 14.6 85.56
242 25.2 83.8
242 35.2 81.55
242 44.6 81.41
242 59.6 77.35
242 75.9 76.07
242 85 71.48
242 94.4 67.97
242 105.5 66.69
242 115 62.5
242 125.1 59.76
242 135.4 60.54
242 150.4 60.06
242 175.6 56.84
243 5.1 84
243 9.9 82.73
