"DOY" "Depth" "EUK"
354 101.8 0.02
354 122 0.006
354 144.9 0.002
354 7.7 0.003
354 26.1 0.006
354 52.4 0.016
354 77.6 0.015
34 6.7 0.01
34 26.5 0.009
34 46.6 0.009
34 79.6 0.022
34 104.2 0.024
34 113.5 0.032
34 119.5 0.025
34 130.5 0.011
34 162.4 0.002
67 31.1 0.002
67 49.6 0.007
67 72.9 0.013
67 101.7 0.013
67 124.6 0.008
67 139.5 0.004
67 147.6 0.001
67 156 0.001
67 179.9 0.002
101 8.2 0.002
101 27.7 0.001
101 46.9 0.003
101 76.9 0.002
101 92.1 0.012
101 102.2 0.026
101 107.2 0.014
101 117 0.011
101 131.4 0.006
101 140.5 0.004
101 155.7 0.002
129 25.4 0.003
129 47.7 0.002
129 80.5 0.003
156 6.1 0.002
156 27.4 0.002
156 50.5 0.003
156 79.8 0.006
156 105.8 0.004
156 132.1 0.015
156 141 0.008
156 157.1 0.002
156 184.4 0.001
191 8.8 0.004
191 28.1 0.009
191 50 0.003
191 77.5 0.005
191 98 0.007
191 110 0.002
191 120.2 0.002
191 130.9 0.001
191 139 0.001
223 5.8 0.001
223 24.9 0.002
223 49.4 0.002
223 77.2 0.003
223 101.8 0.005
223 111.8 0.002
223 117 0.01
223 121.5 0.009
223 131.2 0.004
223 155.1 0.003
223 184.1 0.002
262 13.5 0.002
262 33.1 0.002
262 52.2 0.004
262 81.6 0.004
262 107.3 0.009
262 132.5 0.003
262 157.6 0.001
262 186.2 0.001
295 7.2 0.001
295 27.2 0.002
295 46.8 0.002
295 60.1 0.005
295 75.4 0.008
295 87.8 0.009
295 101 0.007
295 111.8 0.002
295 125.4 0.001
295 152.3 0.002
295 158.9 0.001
162 9 0.003
162 28.8 0.004
162 48.4 0.006
162 79 0.008
162 104.4 0.02
162 119.3 0.022
162 123.7 0.027
162 129 0.023
162 134 0.017
162 139 0.012
162 156.5 0.009
162 180.3 0.003
188 9.6 0.005
188 29.3 0.007
188 47.5 0.007
188 78.4 0.006
188 98.8 0.008
188 109 0.021
188 114.1 0.015
188 119 0.009
188 124.8 0.009
188 134.9 0.005
188 154.6 0.002
188 179 0.001
218 9.8 0.01
218 29.9 0.008
218 49 0.006
218 64.5 0.008
218 79.7 0.01
218 88.8 0.017
218 104.4 0.031
218 119.7 0.013
218 128.6 0.006
218 141 0.006
218 158.6 0.002
218 177.3 0.003
21 5.2 0.008
21 24.7 0.012
21 43.4 0.013
21 74.6 0.01
21 90 0.009
21 113.4 0.006
21 124.5 0.005
21 150.9 0.002
105 5.8 0.003
105 23.7 0.003
105 43.8 0.002
105 74.2 0.006
105 89.6 0.006
105 100.2 0.031
105 103.7 0.029
105 109.2 0.02
105 119.5 0.026
105 135.1 0.027
105 149.8 0.011
105 173.1 0.004
140 6.7 0.002
140 24.5 0.008
140 45.1 0.008
140 75.7 0.008
140 100.7 0.005
140 109.4 0.022
140 119.2 0.008
140 128.8 0.016
140 135.1 0.016
140 144.1 0.014
140 160.8 0.008
140 174.7 0.003
258 5.2 0.003
258 25.1 0.004
258 46.2 0.003
258 76 0.002
258 100.7 0.006
258 115.9 0.007
258 120.7 0.008
258 125.9 0.006
258 130.1 0.005
258 139.9 0.005
258 149.8 0.002
258 175.6 0.002
303 5.7 0.003
303 25.8 0.005
303 47.4 0.007
303 74.4 0.007
303 90 0.005
303 100.4 0.016
303 115.6 0.015
303 119.7 0.014
303 125.6 0.015
303 137.1 0.005
303 151.7 0.001
21 7.1 0.009
21 27 0.008
21 46.3 0.008
21 75 0.008
21 89.6 0.007
21 100.1 0.005
21 116 0.009
21 126.1 0.006
21 135.3 0.004
21 148.8 0.002
21 173.7 0.001
49 6.3 0.01
49 25.8 0.01
49 44.2 0.011
49 60.5 0.011
49 77.5 0.013
49 86.1 0.005
49 102.1 0.006
49 126.4 0.007
49 135.6 0.007
49 149.8 0.006
49 174 0.005
49 191.9 0.002
69 4.5 0.004
69 24.4 0.004
69 44.5 0.005
69 74.7 0.007
69 99.4 0.009
69 124.6 0.009
69 141 0.012
69 145.1 0.012
69 150 0.008
69 154.6 0.013
69 160.5 0.011
69 176.1 0.002
169 5.1 0.001
169 24 0.002
169 44.4 0.002
169 74.9 0.003
169 98.7 0.001
169 98.7 0.004
169 126 0.008
169 140.4 0.016
169 150 0.016
169 160.3 0.009
169 175.1 0.005
207 5.2 0.014
207 24.9 0.016
207 43.6 0.013
207 74.6 0.004
207 100.6 0.006
207 109.9 0.005
207 123.8 0.002
207 150.5 0.002
207 173.7 0.001
243 5.1 0.005
243 9.9 0.004
