"DOY" "Depth" "PRO"
354 101.8 0.633
354 122 0.289
354 144.9 0.077
354 7.7 1.704
354 26.1 1.61
354 52.4 1.1
354 77.6 1.026
34 6.7 1.748
34 26.5 1.603
34 46.6 2.129
34 79.6 1.466
34 104.2 1.292
34 113.5 0.925
34 119.5 0.664
34 130.5 0.557
34 162.4 0.149
67 4.5 1.993
67 31.1 2.112
67 49.6 2.184
67 72.9 0.916
67 101.7 0.595
67 124.6 0.372
67 139.5 0.189
67 147.6 0.031
67 156 0.076
67 179.9 0.072
101 8.2 1.791
101 27.7 1.877
101 46.9 1.849
101 76.9 2.244
101 92.1 1.926
101 102.2 1.597
101 107.2 1.06
101 117 0.73
101 131.4 0.28
101 140.5 0.191
101 155.7 0.059
101 181 0.017
129 25.4 1.62
129 47.7 1.58
129 80.5 1.846
156 6.1 2.175
156 27.4 2.035
156 50.5 2.08
156 79.8 2.019
156 105.8 1.282
156 132.1 0.572
156 141 0.285
156 157.1 0.098
156 184.4 0.037
191 8.8 1.077
191 28.1 0.53
191 50 1.77
191 77.5 2.018
191 98 0.227
191 110 1.883
191 120.2 0.167
191 130.9 0.074
191 139 0.024
191 154.7 0.005
223 5.8 1.521
223 24.9 1.605
223 49.4 1.986
223 77.2 2.417
223 101.8 2.093
223 111.8 2.059
223 117 1.662
223 121.5 0.953
223 131.2 0.2
223 155.1 0.174
223 184.1 0.028
262 13.5 1.945
262 33.1 2.312
262 52.2 2.45
262 81.6 1.886
262 107.3 0.497
262 132.5 0.218
262 157.6 0.081
262 186.2 0.024
295 7.2 1.486
295 27.2 1.568
295 46.8 1.796
295 60.1 1.882
295 75.4 1.585
295 87.8 0.785
295 101 0.475
295 111.8 0.308
295 125.4 0.001
295 152.3 0.106
295 158.9 0.063
162 9 1.063
162 28.8 1.504
162 48.4 1.651
162 79 1.256
162 104.4 0.796
162 119.3 0.703
162 123.7 0.65
162 129 0.622
162 134 0.48
162 139 0.45
162 156.5 0.216
162 180.3 0.065
188 9.6 1.24
188 29.3 0.81
188 47.5 1.161
188 78.4 1.41
188 98.8 0.984
188 109 0.52
188 114.1 0.424
188 119 0.363
188 124.8 0.335
188 134.9 0.198
188 154.6 0.075
188 179 0.021
218 9.8 1.106
218 29.9 1.363
218 49 1.345
218 64.5 1.15
218 79.7 1.093
218 88.8 0.971
218 104.4 0.741
218 119.7 0.492
218 128.6 0.315
218 141 0.225
218 158.6 0.141
218 177.3 0.087
21 5.2 1.943
21 24.7 1.962
21 43.4 2.005
21 74.6 1.896
21 90 1.402
21 113.4 0.455
21 124.5 0.189
21 150.9 0.059
21 176.5 0.004
49 75.5 1.139
49 85.2 0.897
49 95.2 0.812
49 105.2 0.722
49 125.2 0.153
49 150.9 0.059
49 176.6 0.005
105 5.8 1.284
105 23.7 1.517
105 43.8 1.638
105 74.2 1.745
105 89.6 1.658
105 100.2 1.651
105 103.7 1.61
105 109.2 1.047
105 119.5 1.128
105 135.1 0.478
105 149.8 0.256
105 173.1 0.073
140 24.5 1.752
140 45.1 1.707
140 75.7 2.483
140 100.7 1.801
140 109.4 1.46
140 119.2 1.141
140 128.8 0.657
140 135.1 0.555
140 144.1 0.464
140 160.8 0.261
140 174.7 0.042
258 5.2 0.759
258 25.1 0.797
258 46.2 0.734
258 76 0.746
258 100.7 0.515
258 115.9 0.253
258 120.7 0.213
258 125.9 0.156
258 130.1 0.167
258 139.9 0.125
258 149.8 0.079
258 175.6 0.014
303 5.7 2.071
303 25.8 1.748
