"DOY" "Depth" "SYN"
354 101.8 0.005
354 122 0.001
354 144.9 0.001
354 7.7 0.025
354 26.1 0.021
354 52.4 0.012
354 77.6 0.012
34 6.7 0.015
34 26.5 0.013
34 46.6 0.015
34 79.6 0.01
34 104.2 0.012
34 113.5 0.006
67 4.5 0.023
67 31.1 0.018
67 49.6 0.027
67 72.9 0.004
67 101.7 0.004
67 124.6 0.003
67 139.5 0.002
67 147.6 0.003
67 156 0.003
67 179.9 0.003
101 8.2 0.022
101 27.7 0.028
101 46.9 0.03
101 76.9 0.024
101 92.1 0.029
101 102.2 0.018
101 107.2 0.013
101 117 0.007
101 131.4 0.004
101 140.5 0.002
129 25.4 0.015
129 47.7 0.016
129 80.5 0.019
156 6.1 0.016
156 27.4 0.015
156 50.5 0.014
156 79.8 0.012
156 105.8 0.007
191 8.8 0.005
191 28.1 0.001
191 50 0.01
191 77.5 0.014
191 110 0.007
223 5.8 0.006
223 24.9 0.008
223 49.4 0.009
223 77.2 0.016
223 101.8 0.012
223 111.8 0.014
223 117 0.012
223 121.5 0.001
262 13.5 0.01
262 33.1 0.01
262 52.2 0.017
262 81.6 0.017
295 7.2 0.006
295 27.2 0.007
295 46.8 0.021
295 60.1 0.034
295 75.4 0.022
295 87.8 0.002
295 101 0.001
295 125.4 0.005
162 9 0.012
162 28.8 0.008
162 48.4 0.006
162 79 0.009
162 104.4 0.001
162 119.3 0.001
162 139 0.001
188 9.6 0.009
188 29.3 0.005
188 47.5 0.013
188 78.4 0.019
188 98.8 0.003
188 114.1 0.001
188 134.9 0.001
188 154.6 0.001
188 179 0.001
218 9.8 0.009
218 29.9 0.009
218 49 0.013
218 64.5 0.019
218 79.7 0.017
218 88.8 0.005
218 104.4 0.003
218 119.7 0.001
218 128.6 0.001
21 5.2 0.034
21 24.7 0.033
21 43.4 0.041
21 74.6 0.038
21 90 0.023
21 176.5 0.001
49 75.5 0.015
49 85.2 0.006
49 95.2 0.001
105 5.8 0.012
105 23.7 0.019
105 43.8 0.017
105 74.2 0.012
105 89.6 0.014
105 100.2 0.012
105 103.7 0.009
105 109.2 0.008
105 119.5 0.007
140 24.5 0.01
140 45.1 0.01
140 75.7 0.012
140 100.7 0.009
140 109.4 0.005
140 119.2 0.007
140 128.8 0.003
140 135.1 0.001
258 5.2 0.006
258 25.1 0.004
258 46.2 0.005
258 76 0.013
258 100.7 0.004
258 115.9 0.001
258 120.7 0.001
303 5.7 0.001
303 25.8 0.005
303 47.4 0.003
303 74.4 0.008
303 90 0.006
303 100.4 0.001
21 7.1 0.019
21 27 0.021
21 46.3 0.021
21 75 0.02
21 89.6 0.018
21 100.1 0.013
21 116 0.001
49 6.3 0.064
49 25.8 0.061
49 44.2 0.063
49 60.5 0.054
49 77.5 0.035
49 86.1 0.03
49 102.1 0.046
49 126.4 0.035
49 135.6 0.03
49 149.8 0.038
49 174 0.001
69 4.5 0.028
69 24.4 0.031
69 44.5 0.025
69 74.7 0.033
69 99.4 0.037
69 124.6 0.013
69 141 0.012
69 145.1 0.007
69 150 0.004
69 154.6 0.003
69 160.5 0.003
169 5.1 0.028
169 24 0.038
169 44.4 0.034
169 74.9 0.027
169 98.7 0.007
169 98.7 0.012
169 126 0.003
169 175.1 0.002
207 5.2 0.008
207 24.9 0.011
207 43.6 0.013
207 74.6 0.012
207 100.6 0.006
243 5.1 0.006
243 9.9 0.005
243 25.4 0.005
243 34.5 0.007
243 45 0.008
243 59.8 0.017
243 74.4 0.018
243 100.2 0.001
267 5.7 0.013
267 25.5 0.01
267 45.7 0.011
267 75.6 0.022
267 85.3 0.022
267 95.3 0.023
267 100.5 0.01
267 126.1 0.002
289 5 0.004
289 24.5 0.004
289 45.6 0.004
289 75.5 0.023
289 101.2 0.003
289 125.8 0.001
324 5.6 0.009
324 26.1 0.006
324 45.9 0.009
324 76.1 0.007
324 90.1 0.007
324 99.4 0.002
38 5.6 0.008
38 24.5 0.007
38 44.8 0.007
38 75.7 0.016
38 101.2 0.018
38 114.2 0.012
38 123.9 0.004
38 140.8 0.001
64 4.8 0.003
64 25.4 0.047
64 44.8 0.044
64 74.5 0.004
64 100.8 0.001
64 124.3 0.001
97 4.7 0.033
97 24.5 0.038
97 44.4 0.03
97 74.2 0.013
97 100.6 0.01
97 125.8 0.004
97 134.3 0.002
97 137.5 0.002
97 145.4 0.001
97 149.5 0.001
128 4.9 0.017
128 24.5 0.022
128 45.2 0.026
128 75 0.022
128 99.4 0.022
128 110 0.018
128 115.2 0.014
128 120.1 0.014
128 125 0.009
212 4.3 0.017
212 25 0.018
212 39.9 0.029
212 59.6 0.016
241 5 0.007
241 25 0.006
241 45 0.007
241 100 0.003
241 125 0.001
241 150 0.001
271 4.9 0.013
271 16 0.012
271 24.8 0.011
271 34.9 0.014
271 44.2 0.014
271 54.7 0.025
271 64.5 0.032
271 74.6 0.02
271 94.1 0.016
271 99.3 0.017
300 5 0.009
300 25 0.015
300 45 0.017
300 75 0.018
300 100 0.001
300 150 0.001
321 5 0.019
321 25 0.019
321 45 0.02
321 75 0.015
321 100 0.001
17 5 0.017
17 25 0.017
17 45 0.019
17 75 0.021
17 100 0.008
17 125 0.001
87 25 0.014
87 45 0.024
87 75 0.05
87 100 0.028
87 125 0.021
87 175 0.003
115 5 0.03
115 25 0.021
115 45 0.018
115 75 0.039
115 100 0.029
115 125 0.005
143 5 0.022
143 25 0.034
143 45 0.028
143 75 0.028
143 100 0.018
143 125 0.001
178 5 0.013
178 25 0.011
178 45 0.016
178 75 0.022
178 100 0.029
178 125 0.014
178 150 0.001
209 5 0.018
209 25 0.024
209 45 0.028
209 75 0.04
209 100 0.025
209 125 0.007
209 150 0.022
234 5 0.015
234 25 0.013
234 45 0.019
234 75 0.022
234 100 0.011
234 150 0.001
276 5 0.011
276 25 0.01
276 45 0.014
276 75 0.012
276 125 0.042
276 150 0.023
304 5 0.014
304 25 0.026
304 45 0.015
304 75 0.031
304 100 0.005
304 125 0.001
304 150 0.005
304 175 0.001
346 5 0.02
346 25 0.028
346 45 0.027
346 75 0.021
346 100 0.011
346 125 0.003
346 150 0.01
8 5 0.03
8 25 0.028
8 45 0.028
8 75 0.006
8 100 0.001
8 150 0.002
49 5 0.023
49 25 0.022
49 45 0.021
49 75 0.023
49 100 0.019
49 125 0.007
