"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-275 0.622650128207169 0.618237550952472 0.616495541180484 0.616282282862812 0.616677396465093 0.617429395788349 0.618359568761662 0.619930724496953 0.622534527792595 0.626066932454705 0.628075373242609 0.626907814876176
-246 0.639478472294286 0.629931659204885 0.625336586381309 0.624274369329214 0.625059023150243 0.627068555331789 0.629921240033582 0.634109674138017 0.639884354313836 0.64676113834139 0.650656264042482 0.648325949441642
-220 0.652471630019136 0.640005673631094 0.633336283499375 0.631334885838442 0.632239578408189 0.635199350654148 0.639787060208619 0.646209795377217 0.654029659926891 0.662153121083975 0.666760286549106 0.663900413201191
-198 0.655179988825694 0.643563966150396 0.636759141343646 0.634086958598346 0.634531097603031 0.63730266992934 0.642176877590828 0.649085064651445 0.65674124925863 0.663640792481601 0.66752549901139 0.665405212203041
-179 0.648206754704006 0.640085025224835 0.634987198282033 0.631939561571926 0.630922077107243 0.631412069196813 0.634507887298241 0.639934398350306 0.645209234789945 0.649054418317974 0.65309923957102 0.654411691357382
-162 0.627619301667437 0.628448382485658 0.626380482572131 0.619953920249827 0.613867421634495 0.608309710514732 0.607698457315564 0.610953400610015 0.613035983406007 0.613737167441286 0.619364771409892 0.626311099040322
-147 0.594409590121359 0.593683187616989 0.578681108891033 0.564032190595753 0.548718438949436 0.535933504579589 0.534833612618968 0.541534725925885 0.546248367754743 0.549800141016021 0.563200490432791 0.581952088396065
-133 0.503070616105106 0.361254402378108 0.369114568457007 0.37196996709099 0.376051713828929 0.398810210754164 0.419876785599627 0.441721167590003 0.457580870715901 0.470642051368486 0.492531558847986 0.517390828463249
-120 0.256479041127022 0.268576666712761 0.268498850346077 0.269499891146552 0.279494845017325 0.30518069252139 0.333583280735184 0.362087346729822 0.38533347833436 0.404963211622089 0.42004313581856 0.367584412742872
-108 0.242405978497118 0.264475645963103 0.266625560470857 0.267761046416126 0.268931093160063 0.271883342065848 0.293101380520966 0.316130041028373 0.338316574925557 0.352451897924766 0.271955257630907 0.224591694859555
-97 0.241014029597864 0.263739668298513 0.266186601947993 0.267135510512162 0.266825452854391 0.259593696682714 0.265997769020032 0.287569848296698 0.307508104015142 0.296226789942011 0.211712307645939 0.220924095629016
-87 0.240479483181844 0.263332243775949 0.265932416368742 0.266735718469135 0.265531612967607 0.252504280069843 0.249202948907623 0.269119307631627 0.285412817902397 0.253921334660845 0.203104795218678 0.2201045754191
-78 0.240164805290988 0.263069392531179 0.265762086200994 0.266447379544843 0.264704416622408 0.250348959525581 0.242740188696189 0.257228421105538 0.261789740761742 0.20561555356835 0.200838287128136 0.219730049138889
-70 0.239953584241448 0.26288833032595 0.265636132098734 0.266231814748608 0.264145302935503 0.248574302531779 0.237289503274951 0.245547980739502 0.222360838961322 0.17100559125538 0.200185728317592 0.219481535168597
-62 0.239790166233433 0.262740017205942 0.265527749434114 0.266048838966526 0.26370076375315 0.247118161496473 0.229952096560737 0.216578690015012 0.187900761375204 0.167129132023547 0.199833073565969 0.219286204810487
-54 0.239661501836963 0.262616289546713 0.265433431195561 0.265898139332421 0.263361718680244 0.246098581555998 0.217966346099274 0.183256815944333 0.160266743478132 0.166202124091797 0.199593785509933 0.219120800466044
-46 0.239558386965655 0.26251382951159 0.265355629380792 0.265782175119966 0.263123380136676 0.245487601205241 0.216370393900434 0.179561222466873 0.156319754751166 0.165784986165818 0.199410857021576 0.218983270315221
-38.5 0.239483499171911 0.262441404629499 0.265306880464777 0.265711089014076 0.26299140881747 0.245194507442648 0.215977535845013 0.178704071004177 0.155699159222422 0.165581070177723 0.199279562366428 0.218879347812617
-32 0.239429871726315 0.262393012235407 0.265278344159015 0.265670190856326 0.262921486864798 0.245056555286283 0.215839565498754 0.178483292984311 0.155552839714801 0.16547254199395 0.199184454686474 0.218801960727433
-26 0.239385466556996 0.262356355960947 0.265261143795215 0.265645889157895 0.262881716480479 0.24498690982 0.215784271858865 0.178413614776218 0.155487767187878 0.165405712323263 0.199109857931035 0.218736557144439
-20.5 0.239348435570719 0.262327761447523 0.26525243447395 0.265634225797839 0.262862726231106 0.244954982917989 0.215762003790587 0.178390364453662 0.15545894348179 0.165365712746279 0.199050180526683 0.21868031763006
-15.5 0.239316719671478 0.262303670751862 0.265249262156431 0.265630551439244 0.262855246546678 0.244942228164291 0.215754229429876 0.178384030732559 0.155446574353846 0.165341327374335 0.19900032930309 0.218631153984461
-11 0.239289562159684 0.262282861513086 0.265249240328558 0.265632566879503 0.262855763139669 0.24494088938809 0.215754742384888 0.178386493644211 0.15544650159427 0.165328448929358 0.198957928660093 0.218588040297618
-7 0.239266664721072 0.262264846242033 0.265250084339641 0.265637514530681 0.262860514339991 0.244945938902674 0.215759937418625 0.178393645910546 0.155454134073807 0.165322948305402 0.198921312403399 0.2185501580243
-3.5 0.23924785273266 0.262249792285729 0.265251590462867 0.265644615865313 0.262869652942754 0.244955768721411 0.215769046917558 0.178405545739224 0.15546684153378 0.165321871463675 0.198890040337574 0.218517470784718
-1 0.239206401602132 0.26221063308185 0.265214614046272 0.265596310782712 0.262806206592359 0.244900718826102 0.215689204196678 0.178350092028268 0.155431174789555 0.165286386618391 0.198824112885632 0.218469071114669
