"DOY" "Depth" "SIZE3"
24 5.4 0.161290322580645
24 15.3 0.181818181818182
24 24.7 0.161290322580645
24 35.3 0.178571428571429
24 45.1 0.178571428571429
24 60.3 0.178571428571429
24 69.5 0.206896551724138
24 100.1 0.166666666666667
24 125.9 0.5
25 5 0.142857142857143
45 5.8 0.175
46 4.6 0.13953488372093
46 10.1 0.142857142857143
46 25.4 0.13953488372093
46 30.5 0.2
46 39.3 0.177777777777778
46 54.6 0.186046511627907
46 69.4 0.190476190476191
46 99.9 0.170731707317073
46 125.2 0.189189189189189
301 48.9 0.24
301 59.2 0.166666666666667
301 80 0.333333333333333
301 6.1 0.149253731343284
301 9.9 0.161290322580645
301 14.6 0.172413793103448
301 19.1 0.147058823529412
301 28.9 0.227272727272727
301 40.5 0.129032258064516
301 44.7 0.15
299 44.6 0.166666666666667
299 30.4 0.2
299 5 0.14
298 5.4 0.125
298 9.9 0.220338983050847
298 19.5 0.135593220338983
298 30.2 0.236363636363636
298 34.8 0.177777777777778
298 44.7 0.2
298 54.1 0.315789473684211
60 5.2 0.162162162162162
60 15.3 0.219512195121951
60 30.7 0.166666666666667
60 39.9 0.171428571428571
60 50.1 0.157894736842105
60 65.4 0.157894736842105
60 75.5 0.166666666666667
56 100.3 0.166666666666667
56 125.6 0.5
56 150.3 0.5
56 4.9 0.166666666666667
56 15.1 0.170731707317073
56 30.7 0.216216216216216
56 40.4 0.210526315789474
56 50 0.175
56 65 0.176470588235294
56 74.6 0.15
112 19.7 0.306122448979592
112 40.2 0.295454545454545
112 79.3 0.277777777777778
112 99.7 0.272727272727273
112 124.7 0.5
112 5 0.275
112 9.1 0.244444444444444
112 25.1 0.282051282051282
112 29.3 0.264705882352941
112 34.9 0.2
112 44 0.219512195121951
112 59.4 0.272727272727273
110 59.8 0.205882352941177
110 29 0.25
110 5.1 0.222222222222222
110 19.2 0.243243243243243
110 39.2 0.222222222222222
110 79.5 0.192307692307692
110 100.3 0.25
110 125.6 0.333333333333333
110 5.1 0.421052631578947
110 9.6 0.205882352941176
110 24.3 0.235294117647059
110 29.3 0.264705882352941
110 34.6 0.257142857142857
110 44 0.166666666666667
110 59.3 0.21875
188 11.9 0.141176470588235
188 45.1 0.169491525423729
188 70.3 0.157894736842105
188 100.2 0.333333333333333
188 125.2 0.5
188 3.3 0.180722891566265
188 6.5 0.164705882352941
188 14.8 0.175824175824176
188 19.7 0.116279069767442
188 24.7 0.0972222222222222
188 27.9 0.121212121212121
188 35.7 0.126865671641791
185 25.2 0.105263157894737
185 3 0.203007518796992
185 12.4 0.144067796610169
185 50 0.24
185 75.3 0.25
185 100.6 0.333333333333333
185 125.7 0.5
185 3.2 0.182692307692308
185 7 0.180952380952381
185 15 0.123076923076923
185 20.2 0.127659574468085
185 25.2 0.185483870967742
185 27.9 0.141592920353982
185 38 0.239583333333333
181 55.6 0.302325581395349
181 70.6 0.214285714285714
181 85.7 0.25
181 5.6 0.116504854368932
181 9.6 0.127450980392157
181 14.8 0.213592233009709
181 19.9 0.133333333333333
181 25.2 0.105769230769231
181 30.1 0.121495327102804
181 40.2 0.16504854368932
162 13.1 0.204081632653061
162 50.4 0.2
162 75 0.3
162 2.9 0.238095238095238
162 6.9 0.268817204301075
162 15.6 0.271604938271605
162 22.5 0.229885057471264
162 26.7 0.225225225225225
162 30.3 0.280701754385965
162 40.2 0.219178082191781
165 16 0.153846153846154
165 55.2 0.236842105263158
165 80.2 0.307692307692308
165 4.1 0.132075471698113
165 7.3 0.156862745098039
165 20.3 0.152542372881356
165 26.1 0.145161290322581
165 30.8 0.21875
165 35.2 0.230769230769231
165 45.1 0.226415094339623
165 45.2 0.186046511627907
165 31 0.140350877192982
165 4.4 0.169014084507042
