"DOY" "Depth" "N2C"
314 0 0.142857142857143
314 20 0.114942528735632
314 50 0.133333333333333
314 70 0.142857142857143
314 80 0.153846153846154
314 90 0.131578947368421
314 100 0.104166666666667
314 150 0.112359550561798
314 200 0.103092783505155
47 0 0.138888888888889
47 20 0.163934426229508
47 50 0.153846153846154
47 75 0.192307692307692
47 100 0.114942528735632
47 150 0.131578947368421
47 200 0.102040816326531
120 10 0.138888888888889
120 20 0.138888888888889
120 30 0.149253731343284
120 50 0.153846153846154
120 75 0.131578947368421
120 150 0.101010101010101
120 200 0.0943396226415094
210 0 0.106382978723404
210 10 0.0840336134453781
210 20 0.113636363636364
210 30 0.120481927710843
210 50 0.121951219512195
210 75 0.128205128205128
210 100 0.149253731343284
210 150 0.0952380952380952
210 200 0.0961538461538461
