"DOY" "Depth" "SIZE3"
31 4.8 0.138888888888889
31 15.1 0.131578947368421
31 24.8 0.146341463414634
31 34.6 0.135135135135135
31 45 0.142857142857143
31 64.3 0.148148148148148
31 80.1 0.129032258064516
31 100.1 0.15
31 125 0.181818181818182
33 5 0.0967741935483871
33 14.7 0.135135135135135
33 30.4 0.121212121212121
33 50.5 0.151515151515152
33 60.4 0.161290322580645
33 70.3 0.129032258064516
33 85.4 0.142857142857143
33 99 0.181818181818182
33 124 0.142857142857143
39 5.5 0.127659574468085
39 15.6 0.125
39 30.9 0.106382978723404
39 50.4 0.130434782608696
39 59.6 0.116279069767442
39 70.4 0.133333333333333
39 84.4 0.125
39 100.4 0.2
39 125.9 0
40 5.1 0.125
41 5.7 0.12
41 20.2 0.1875
41 34.8 0.166666666666667
41 50.1 0.15
41 60 0.166666666666667
41 80 0.125
41 94.9 0.2
41 100.9 0.25
41 125.3 0
41 5.9 0.16
313 70 0.0476190476190476
313 125.4 0.0555555555555556
313 149.8 0
313 9.8 0.125
313 34.8 0.125
313 54.2 0.117647058823529
313 65.3 0.05
313 79 0.0869565217391304
313 94.8 0.04
313 109.8 0.037037037037037
311 89.8 0.0625
311 49.4 0.0769230769230769
311 10 0.0833333333333333
311 90.9 0.0294117647058824
311 125.3 0
311 9.6 0.111111111111111
311 29.8 0.142857142857143
311 50.4 0.0909090909090909
311 65.1 0.0476190476190476
311 75.8 0.0869565217391304
311 91.1 0.0588235294117647
311 105.7 0.0434782608695652
48 100.9 0.171052631578947
48 125.4 0.102564102564103
48 150.3 0
48 5.2 0.123287671232877
48 15.5 0.117647058823529
48 30.4 0.08
48 40.2 0.108108108108108
48 54.7 0.102272727272727
48 69.7 0.0625
48 84.5 0.133333333333333
45 75.2 0.142857142857143
45 35.4 0.116666666666667
45 5.2 0.126984126984127
45 99.4 0.138888888888889
45 124.7 0.133333333333333
45 150.2 0.222222222222222
45 5.2 0.169014084507042
45 15.2 0.0786516853932584
45 25.1 0.1
45 33.8 0.0909090909090909
45 45.3 0.136363636363636
45 60.2 0.181818181818182
45 75.2 0.113636363636364
120 19.5 0.136363636363636
120 40.2 0.116279069767442
120 74.6 0.0833333333333333
120 100 0.0909090909090909
120 124.5 0.25
120 4.7 0.105263157894737
120 9.5 0.142857142857143
120 24.5 0.136363636363636
120 29.6 0.193548387096774
120 34.5 0.115384615384615
120 44.9 0.126760563380282
120 54.6 0.117647058823529
118 54.8 0.153846153846154
118 29.9 0.0909090909090909
118 5.1 0.105263157894737
118 20.2 0.157894736842105
118 69.1 0.184615384615385
118 84.8 0.125
118 100.9 0.107142857142857
118 125 0.1
118 5 0.108695652173913
118 9.7 0.108695652173913
118 25.3 0.0943396226415094
118 29.9 0.122448979591837
118 35 0.145833333333333
118 39.8 0.14
118 55.1 0.122448979591837
208 70.1 0.0972222222222222
208 45 0.2
208 6.1 0.111111111111111
208 15.3 0.2
208 36.5 0.222222222222222
208 80.7 0.108695652173913
208 100.8 0.0810810810810811
208 130.4 0.142857142857143
208 150.3 0.166666666666667
208 5.9 0.2
208 20.3 0.142857142857143
208 44.6 0.181818181818182
208 55.9 0.142857142857143
208 65.4 0.0555555555555556
208 70.5 0.0789473684210526
208 85.4 0.0754716981132075
205 19.6 0.166666666666667
205 41.4 0.111111111111111
205 85.5 0.101694915254237
205 105.6 0.064516129032258
205 124.9 0.1
205 139.9 0.125
205 6.4 0.166666666666667
205 24.6 0.142857142857143
205 47.6 0.0833333333333333
205 60 0.133333333333333
205 70.1 0.133333333333333
205 77.9 0.111111111111111
205 94.1 0.125
179 26.8 0.0909090909090909
179 48.1 0.125
179 76.2 0.102040816326531
179 90.5 0.157894736842105
179 107.5 0.166666666666667
179 3.8 0.111111111111111
179 11.8 0.125
179 33 0.181818181818182
179 40 0.166666666666667
179 53 0.125
179 57.2 0.148148148148148
179 66.6 0.134615384615385
182 31.1 0.166666666666667
182 50 0.117647058823529
182 84.7 0.103448275862069
182 99.9 0.2
182 120.1 0.333333333333333
182 7.1 0.125
182 17.8 0.285714285714286
182 36.2 0.285714285714286
182 43 0.2
182 55.6 0.131578947368421
182 60 0.131578947368421
182 73.8 0.157894736842105
182 84.7 0.173913043478261
182 59.5 0.15
182 6.6 0.166666666666667
