"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-493.75 0.969513759016991 0.92368072271347 0.88702604174614 0.98302373290062 1.02776253223419 1.04830145835876 1.09351813793182 1.04832929372787 1.18776375055313 1.16435861587524 1.05908527970314 0.96413841843605
-475 0.890401929616928 0.866811200976372 0.890084788203239 0.882931858301163 0.919072285294533 0.957659333944321 0.974820613861084 0.921831548213959 0.777788400650024 1.06436184048653 0.919769898056984 0.953210428357124
-450 0.7967489361763 0.790400370955467 0.756861194968224 0.786559596657753 0.815980792045593 0.870929747819901 0.870360195636749 0.832015588879585 0.666509717702866 0.960408791899681 0.851951718330383 0.917072638869286
-425 0.709447711706161 0.686928287148476 0.669941544532776 0.697210609912872 0.722154885530472 0.782279580831528 0.751301884651184 0.752270385622978 0.582828655838966 0.848681315779686 0.765177175402641 0.612136140465736
-400 0.601125627756119 0.60985766351223 0.5451490432024 0.610455378890038 0.637001812458038 0.694358095526695 0.688242703676224 0.674380913376808 0.738437190651894 0.749939188361168 0.623122185468674 0.434789195656776
-375 0.547665819525719 0.551472395658493 0.548578217625618 0.522059589624405 0.556386515498161 0.620007023215294 0.602692812681198 0.594434887170792 0.573277547955513 0.651568651199341 0.561548516154289 0.442335151135921
-350 0.487814359366894 0.493325367569923 0.470979258418083 0.445732712745667 0.488495633006096 0.539145201444626 0.505964159965515 0.511585861444473 0.534579992294312 0.581465870141983 0.478632375597954 0.534118682146072
-325 0.419441886246204 0.434538677334785 0.414309874176979 0.373910784721375 0.42179050296545 0.460733808577061 0.438079610466957 0.47133531421423 0.487705551087856 0.499157562851906 0.410956472158432 0.425836637616158
-300 0.336502276360989 0.369579769670963 0.359321177005768 0.317497774958611 0.369027309119701 0.386183507740498 0.395303413271904 0.387990064918995 0.499715112149715 0.438172928988934 0.349864259362221 0.290485858917236
-275 0.313201732933521 0.326150149106979 0.329521343111992 0.264077708125114 0.324338465929031 0.347213007509708 0.34416626393795 0.350388459861279 0.42667630314827 0.383421786129475 0.304683990776539 0.227031134068966
-250 0.272661797702312 0.297518506646156 0.278957694768906 0.244821552187204 0.279724068939686 0.299000382423401 0.300267718732357 0.29753827303648 0.359253086149693 0.335168085992336 0.267055578529835 0.200946729630232
-225 0.256377913057804 0.357602782547474 0.224548749625683 0.220301572233438 0.252338286489248 0.270001757889986 0.275937706232071 0.251067940145731 0.331203132867813 0.298927806317806 0.25330226123333 0.407739453017712
-200 0.212031070142984 0.237516921013594 0.208812158554792 0.186578176915646 0.213171906769276 0.23919378593564 0.238477043807507 0.229543637484312 0.266198232769966 0.300194934010506 0.264237374067307 0.431751221418381
