"DOY" "Depth" "DIP"
178 0 0.0565
178 10 0.0485
178 19.7 0.0475
178 29.6 0.0495
178 49.4 0.062
178 75.1 0.1125
178 99.3 0.2435
178 124 0.2675
178 147.9 0.293
178 174.2 0.2925
178 200 0.301
179 0 0.086
179 4 0.06
179 11.7 0.0605
179 26.8 0.0565
179 32.9 0.0575
179 39.8 0.062
179 48.1 0.0675
179 52.9 0.068
179 57.6 0.078
179 66.2 0.1185
179 76.2 0.2265
179 90.5 0.229
179 107.5 0.262
179 150 0.282
179 175.4 0.2625
179 200 0.289
179 224.6 0.2895
182 0 0.07
182 7.2 0.059
182 17.7 0.057
182 31.1 0.052
182 36.2 0.055
182 43.1 0.0585
182 50 0.0705
182 55.8 0.104
182 59.9 0.1115
182 74.1 0.194
182 84.7 0.22
182 99.9 0.2475
182 120.1 0.272
182 150.2 0.278
182 174.8 0.2745
182 200 0.2795
182 225.9 0.2855
182 248.9 0.2995
182 6.6 0.058
182 20 0.068
182 29.4 0.077
182 39.6 0.077
182 59.3 0.104
182 84.8 0.209
182 99.7 0.243
182 149.4 0.319
182 200 0.286
184 6.1 0.07
184 9.7 0.067
184 19.7 0.0645
184 40.1 0.0715
184 59.3 0.0805
184 79.6 0.0895
184 86.1 0.1385
184 99.3 0.2135
184 119.5 0.2515
184 139 0.2795
184 159 0.32
184 178.9 0.3345
184 200 0.3135
184 247.5 0.4045
205 0 0.0895
205 10 0.0425
205 20.6 0.0505
205 30.2 0.047
205 49.6 0.041
205 74.6 0.1695
205 99.9 0.2305
205 124.3 0.251
205 149.4 0.2785
205 173.9 0.275
205 200 0.245
205 248.7 0.292
205 0 0.0965
205 6.5 0.0375
205 19.7 0.0415
205 24.7 0.0505
205 41.4 0.045
205 47.7 0.051
205 59.4 0.0435
205 70.1 0.057
205 78 0.0765
205 85.5 0.099
205 94.4 0.1535
205 105.6 0.1955
205 124.9 0.236
205 139.9 0.2485
205 175.3 0.248
205 200 0.2625
205 225 0.2755
208 0 0.07
208 6.2 0.0565
208 15.3 0.039
208 20.7 0.044
208 36.5 0.0435
208 44.6 0.044
208 56 0.045
208 65.7 0.0595
208 70.5 0.069
208 80.7 0.0885
208 85.5 0.11
208 100.8 0.1435
208 130.4 0.209
208 150.2 0.225
208 175.8 0.2885
208 200 0.25
208 225.9 0.306
211 6.4 0.043
211 10.2 0.037
211 20.1 0.045
211 40.5 0.043
211 60.7 0.047
211 79.9 0.071
211 99.9 0.2255
211 119.9 0.231
211 139.5 0.237
211 159.9 0.255
211 179.2 0.266
211 200 0.293
211 248.8 0.334
211 6.4 0.043
211 10.3 0.047
211 20.4 0.04
211 40 0.045
211 60.1 0.052
211 79.8 0.195
211 99.7 0.099
211 119.8 0.187
211 139.7 0.235
211 159.3 0.267
211 179.1 0.279
211 200 0.287
211 249 0.302
211 6.5 0.045
211 10.4 0.041
211 20.4 0.05
211 40.3 0.039
211 60.3 0.044
