"DOY" "Depth" "DFe"
15 500 0.928119618038181
15 400 0.744784592825454
15 300 0.408007348596584
15 250 0.21634332370013
15 200 0.0758187252358766
15 150 0.0211773860883113
15 125 0.0185228760756218
15 100 0.0450507855020987
15 75 0.0654110272080288
15 50 0.066533043536765
15 30 0.0665330553601962
15 20 0.0665330553601962
15 10 0.0665330553601962
15 0 0.0665330553601962
45 500 0.925591179111507
45 400 0.734892964828759
45 300 0.393857393646613
45 250 0.203826803044649
45 200 0.0690545130055398
45 150 0.0210640414479712
45 125 0.0173030884980108
45 100 0.0497644869028591
45 75 0.0633958525213529
45 50 0.0637210696368129
45 30 0.0637210951026645
45 20 0.0637211096545798
45 10 0.0637211296634632
45 0 0.0637211296634632
75 500 0.925464810279664
75 400 0.734105298761278
75 300 0.391651807149174
75 250 0.201219272639719
75 200 0.0674620032441453
75 150 0.0207794189464039
75 125 0.0153469266024331
75 100 0.0493845168421103
75 75 0.0620216583229194
75 50 0.0645160130261502
75 30 0.066108773353335
75 20 0.0665435622977384
75 10 0.06655461606897
75 0 0.0665656698402017
105 500 0.925697400816716
105 400 0.734171982912812
105 300 0.390811128454516
105 250 0.199865537069854
105 200 0.0665065444991342
105 150 0.0194216440831951
105 125 0.0151828296566237
105 100 0.0468613507109694
105 75 0.0557656397859318
105 50 0.0646699288608943
105 30 0.0717933601208642
105 20 0.0753550757508492
105 10 0.0753890371925081
105 0 0.0753890371925081
135 500 0.925974265555851
135 400 0.734063585696276
135 300 0.389934328268282
135 250 0.199050475202966
135 200 0.0666927171550924
135 150 0.0172387362908921
135 125 0.0171752512869716
135 100 0.0458437698398484
135 75 0.0602779464315972
135 50 0.0602779464315972
135 30 0.0602779464315972
135 20 0.0602779464315972
135 10 0.0602779464315972
135 0 0.0602779464315972
165 500 0.926334425457753
165 400 0.735266366973519
165 300 0.391348221455701
165 250 0.200542901438894
165 200 0.0682196632624255
165 150 0.0150594287333661
165 125 0.0209021991395275
165 100 0.0404888635330281
165 75 0.0600755279265286
165 50 0.0727768301658216
165 30 0.0727768301658216
165 20 0.0727768301658216
165 10 0.0727768301658216
165 0 0.0727768301658216
195 500 0.926989356230479
195 400 0.739313269150443
195 300 0.397650801460259
195 250 0.206167425858439
195 200 0.0710524691385217
195 150 0.0146741724620369
195 125 0.0231449691909802
195 100 0.0446336448476359
195 75 0.0597949542679999
195 50 0.0744200310186393
195 30 0.0861200924191508
195 20 0.0859113115438959
195 10 0.0858924668136752
195 0 0.0858736220834544
225 500 0.927528315514792
225 400 0.741993579140399
225 300 0.401613120629918
225 250 0.209744692256209
225 200 0.0727902361177257
225 150 0.0146395262845544
225 125 0.0240543961353978
225 100 0.0445935725110758
225 75 0.0605960772190883
225 50 0.0779410038376227
225 30 0.0850912874739151
225 20 0.0829368100312422
225 10 0.0829367927508429
225 0 0.0829367845653906
255 500 0.928157918679062
255 400 0.74512635183055
255 300 0.40636660560267
255 250 0.213942799746292
255 200 0.0746435844121152
255 150 0.0146734273585025
255 125 0.0242411849740165
255 100 0.0427738683583812
255 75 0.0613065517427458
255 50 0.0794996276454185
255 30 0.0830853059596848
255 20 0.0815248281469394
255 10 0.079964350334194
255 0 0.079964350334194
285 500 0.928673696762417
285 400 0.746804013033397
285 300 0.408970001444686
285 250 0.216374524825369
285 200 0.0758103433327051
285 150 0.0154292857814653
285 125 0.0240242991367268
285 100 0.0444897041234071
285 75 0.0623135192654445
285 50 0.0801326659711776
285 30 0.0790358026279137
285 20 0.0782418846938526
285 10 0.0782418828748632
285 0 0.0782418828748632
315 500 0.929151028685737
315 400 0.74818184657488
315 300 0.411632881878177
315 250 0.219034534893581
315 200 0.0772202120060683
315 150 0.0173223622823571
315 125 0.0218897137074237
315 100 0.0442351047240663
315 75 0.0631510151833936
315 50 0.076875709964952
315 30 0.0749706587157561
315 20 0.0749706587157561
315 10 0.0749706614442402
315 0 0.0749706614442402
345 500 0.928372537600808
345 400 0.74501232302282
345 300 0.407686249673134
345 250 0.215887735976139
345 200 0.075618500886776
345 150 0.0192024413081526
345 125 0.0205991686925699
345 100 0.0451329419774993
345 75 0.0653945076010132
345 50 0.0718138262527646
345 30 0.0717030270607211
345 20 0.0717030297892052
345 10 0.0717030270607211
345 0 0.071703042522131
