"DOY" "Depth" "POP"
307 18.9 0.0199
307 38.9 0.0151
307 66.7 0.0208
307 116.1 0.0079
307 308.4 0.0041
338 1.6 0.0161
338 21.6 0.0164
338 46.4 0.0164
338 72.1 0.0199
338 97.9 0.0202
338 125.8 0.0095
338 151.1 0.006
338 176.9 0.0139
338 302.8 0.0035
9 20.6 0.0167
9 69.8 0.0082
9 98.6 0.0126
9 123.2 0.0101
9 148 0.0085
9 172 0.0082
9 251.6 0.005
85 3 0.0132
85 22.9 0.0136
85 42.7 0.0126
85 74.6 0.0123
85 152.4 0.0085
85 178.7 0.0066
85 258.2 0.0025
85 305.8 0.0035
138 30.1 0.0186
138 49.9 0.0145
138 79.9 0.0195
138 303.2 0.0028
175 5.8 0.0123
175 26.2 0.0158
175 51.4 0.0155
175 78.4 0.0177
175 103.4 0.0104
175 129.1 0.0095
175 152.3 0.0073
175 179.9 0.0044
175 257.6 0.0038
209 6.3 0.0189
209 47.8 0.0136
209 77.1 0.0113
209 103.3 0.0123
209 129 0.0085
209 155.4 0.0054
209 180.9 0.0057
209 257.8 0.0038
264 45.7 0.0237
264 76.4 0.0233
264 129.2 0.011
264 156.5 0.0079
264 182.9 0.0079
264 256.3 0.0063
290 129.2 0.0145
290 155.4 0.006
290 179.6 0.0057
290 252.8 0.0044
7 2.8 0.0177
7 26.2 0.0066
7 26.2 0.012
7 26.2 0.0205
7 46.6 0.0186
7 76.5 0.0214
7 102.8 0.0154
7 102.8 0.0303
7 128.6 0.0101
7 153.9 0.0091
7 178.4 0.0069
7 253.6 0.0069
47 44.8 0.0177
47 75.1 0.0145
47 125.4 0.0091
47 154.7 0.0057
47 154.8 0.006
47 179.1 0.0076
47 249 0.0076
78 4.1 0.0161
78 44.6 0.018
78 60.4 0.0186
78 75 0.0164
78 85.3 0.0132
78 95.3 0.0132
78 105.6 0.0136
78 116.3 0.0148
78 136.5 0.0095
78 153 0.0076
78 178.4 0.0066
78 204.9 0.0066
102 46.6 0.0259
102 78.2 0.0306
102 78.2 0.0173
102 123 0.0189
102 123 0.0151
102 148.9 0.0129
102 179.5 0.011
129 5.7 0.0318
129 11.6 0.0243
129 26.5 0.0236
129 46.4 0.0309
129 77.5 0.0221
129 102.2 0.0218
129 102.1 0.0202
129 129.8 0.0139
129 155 0.0088
129 179.1 0.0085
129 257.7 0.0044
164 12 0.0249
164 26.5 0.0195
164 46.8 0.0274
164 77.7 0.0197
164 103.7 0.0145
164 129 0.0123
164 154 0.0085
164 179.6 0.0076
206 27 0.0227
206 47 0.0211
206 77.7 0.0167
206 103 0.017
206 128.7 0.0101
206 154.3 0.0091
206 181 0.0079
206 259.3 0.0073
353 6.8 0.023
353 77.4 0.0344
353 128.4 0.014
353 153.7 0.0148
353 183.8 0.0085
353 258.1 0.0057
35 6.9 0.0274
35 3.4 0.012
35 22.9 0.0151
35 76 0.0265
35 100.8 0.0167
35 157.2 0.0107
66 5.6 0.0173
66 28.6 0.0161
66 45.3 0.0126
66 107.4 0.0079
66 127.2 0.0177
66 150.5 0.0101
66 182.2 0.0057
66 254.3 0.0038
100 8.3 0.0177
100 27.5 0.018
100 79 0.011
100 103.4 0.0177
100 113.6 0.012
100 130.1 0.0126
100 154.6 0.0076
100 184.4 0.0047
100 258.3 0.0032
101 13.1 0.0183
101 12.9 0.0161
101 13.1 0.0189
101 12.9 0.0183
129 26.9 0.0186
129 53.3 0.0145
129 76.5 0.0177
129 104.3 0.0167
129 121.6 0.0148
129 130.1 0.0117
129 184.9 0.0057
129 259.1 0.0035
129 259.1 0.0038
156 7.2 0.0205
156 26.8 0.0211
156 48.6 0.017
156 79.7 0.0085
156 106.5 0.0148
156 130.7 0.0126
156 134.8 0.0101
156 146.1 0.0088
156 157.1 0.005
156 184.2 0.0044
156 262.4 0.0032
191 8.3 0.0167
191 47.4 0.0202
191 78.2 0.017
191 103.6 0.018
191 130 0.0126
191 157.7 0.0088
191 179.3 0.006
191 260 0.0035
222 7 0.0186
222 26.9 0.0195
222 27.1 0.0199
222 46.1 0.0199
222 80.2 0.0173
222 103.2 0.017
222 102.3 0.0177
222 131.7 0.0132
222 156 0.0085
222 180.7 0.0066
222 262.4 0.0044
261 2.1 0.0202
261 14.3 0.0211
261 34.1 0.0202
261 53.1 0.0205
261 83.4 0.0098
261 108.3 0.0148
261 133.5 0.0101
261 157.1 0.0069
261 181.8 0.0073
261 257.6 0.0041
294 6.4 0.0205
294 26.9 0.0098
294 46.8 0.0221
294 77 0.0202
294 91.7 0.0177
294 100.2 0.0126
294 120.9 0.0101
294 128.3 0.0098
294 152.7 0.0079
294 177.8 0.0063
294 203.2 0.0066
340 156.1 0.006
340 177.3 0.0047
340 254 0.0035
45 6.8 0.0132
45 25.9 0.0136
45 45.8 0.0142
45 75.5 0.0142
45 101.6 0.0145
45 127 0.0104
45 149.6 0.0073
45 174.7 0.0047
45 245.7 0.0044
161 8.6 0.017
161 28.6 0.017
161 48 0.0221
161 80.2 0.018
161 130.1 0.0145
161 156.3 0.0173
161 156.5 0.0079
161 180.1 0.0063
161 255.6 0.0044
187 7.7 0.0123
187 29.8 0.0161
187 49.7 0.0192
187 77.4 0.0145
187 102.1 0.0139
187 127.4 0.0082
187 153 0.0057
