"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-2000 0.543329071660992 0.543651956832036 0.543796159035992 0.543931870197412 0.544165683095343 0.544239024748094 0.544081303814892 0.543879439646844 0.543627531442326 0.543426409421954 0.543342692253646 0.543355177796911
-1750 0.571535834751558 0.572016666410491 0.572101438592654 0.572215983993374 0.572467084566597 0.572473290958442 0.572231627302244 0.572006967558991 0.571719116123859 0.571568598388694 0.571546370338183 0.57168510829797
-1500 0.629091475275345 0.62985134718474 0.629887472314294 0.630015179922339 0.63029357988853 0.630216527497396 0.629841408226639 0.629545393167064 0.62917032482801 0.629037254839204 0.629054920864291 0.629383750492707
-1400 0.653169488941785 0.654045150440652 0.654064293485135 0.654198367556091 0.654487739666365 0.654377858154476 0.653948380204383 0.653621595120057 0.653209572192281 0.65308014745824 0.653111092105974 0.653515118756332
-1300 0.694720394676551 0.695781243848614 0.695824790454935 0.695983209880069 0.696284529112745 0.696148817951325 0.695647657266818 0.695254660968203 0.694772454153281 0.69459096994251 0.694590416969731 0.695054717652965
-1200 0.736271198547911 0.737517395464238 0.737585316528566 0.737767972168513 0.738081282179337 0.737919821403921 0.737346927053295 0.736887748644222 0.736335263354704 0.736101748771034 0.73606964724604 0.736594367481302
-1100 0.777822111558635 0.779253496148158 0.779345675255172 0.779552807216533 0.779878027969971 0.779690803028643 0.779046218667645 0.778520763560664 0.777898072556127 0.77761249121977 0.777548943005968 0.778133937274106
-1000 0.820373759779613 0.821809888293501 0.821936497231945 0.822173467895482 0.82250756531721 0.822328838694375 0.821669418655802 0.821120986074675 0.820479974208865 0.820169632788748 0.8200877418858 0.820662709884346
-900 0.864937566802837 0.866015492647421 0.866196838614997 0.866474751092028 0.86681136599509 0.866709982801694 0.86615019972669 0.865665824676398 0.86511026165681 0.864830522914417 0.864756839291658 0.865180096297991
-800 0.9095013156184 0.910220893274527 0.91045701992698 0.910776048840489 0.911115246708505 0.911091032321565 0.910631039005239 0.910210634174291 0.909740760107525 0.909491434867959 0.909425871213898 0.909697388124187
-700 0.941109086852521 0.941271166084334 0.941497164603788 0.941830192459747 0.942168182518799 0.942230675718747 0.941933925787453 0.941654601774644 0.941352627705783 0.941212965699378 0.941216312639881 0.941286911256611
-600 0.945437612244859 0.94462282868335 0.944702260312624 0.944992192671634 0.945321306062397 0.945490261074156 0.945490755839273 0.945514591876417 0.945553692872636 0.945690735534299 0.945890467846766 0.945656865951605
-500 0.928119618038181 0.925591179111507 0.925464810279664 0.925697400816716 0.925974265555851 0.926334425457753 0.926989356230479 0.927528315514792 0.928157918679062 0.928673696762417 0.929151028685737 0.928372537600808
-400 0.744784592825454 0.734892964828759 0.734105298761278 0.734171982912812 0.734063585696276 0.735266366973519 0.739313269150443 0.741993579140399 0.74512635183055 0.746804013033397 0.74818184657488 0.74501232302282
-300 0.408007348596584 0.393857393646613 0.391651807149174 0.390811128454516 0.389934328268282 0.391348221455701 0.397650801460259 0.401613120629918 0.40636660560267 0.408970001444686 0.411632881878177 0.407686249673134
-250 0.21634332370013 0.203826803044649 0.201219272639719 0.199865537069854 0.199050475202966 0.200542901438894 0.206167425858439 0.209744692256209 0.213942799746292 0.216374524825369 0.219034534893581 0.215887735976139
-200 0.0758187252358766 0.0690545130055398 0.0674620032441453 0.0665065444991342 0.0666927171550924 0.0682196632624255 0.0710524691385217 0.0727902361177257 0.0746435844121152 0.0758103433327051 0.0772202120060683 0.075618500886776
-150 0.0211773860883113 0.0210640414479712 0.0207794189464039 0.0194216440831951 0.0172387362908921 0.0150594287333661 0.0146741724620369 0.0146395262845544 0.0146734273585025 0.0154292857814653 0.0173223622823571 0.0192024413081526
-125 0.0185228760756218 0.0173030884980108 0.0153469266024331 0.0151828296566237 0.0171752512869716 0.0209021991395275 0.0231449691909802 0.0240543961353978 0.0242411849740165 0.0240242991367268 0.0218897137074237 0.0205991686925699
-100 0.0450507855020987 0.0497644869028591 0.0493845168421103 0.0468613507109694 0.0458437698398484 0.0404888635330281 0.0446336448476359 0.0445935725110758 0.0427738683583812 0.0444897041234071 0.0442351047240663 0.0451329419774993
-75 0.0654110272080288 0.0633958525213529 0.0620216583229194 0.0557656397859318 0.0602779464315972 0.0600755279265286 0.0597949542679999 0.0605960772190883 0.0613065517427458 0.0623135192654445 0.0631510151833936 0.0653945076010132
-50 0.066533043536765 0.0637210696368129 0.0645160130261502 0.0646699288608943 0.0602779464315972 0.0727768301658216 0.0744200310186393 0.0779410038376227 0.0794996276454185 0.0801326659711776 0.076875709964952 0.0718138262527646
-30 0.0665330553601962 0.0637210951026645 0.066108773353335 0.0717933601208642 0.0602779464315972 0.0727768301658216 0.0861200924191508 0.0850912874739151 0.0830853059596848 0.0790358026279137 0.0749706587157561 0.0717030270607211
-20 0.0665330553601962 0.0637211096545798 0.0665435622977384 0.0753550757508492 0.0602779464315972 0.0727768301658216 0.0859113115438959 0.0829368100312422 0.0815248281469394 0.0782418846938526 0.0749706587157561 0.0717030297892052
-10 0.0665330553601962 0.0637211296634632 0.06655461606897 0.0753890371925081 0.0602779464315972 0.0727768301658216 0.0858924668136752 0.0829367927508429 0.079964350334194 0.0782418828748632 0.0749706614442402 0.0717030270607211
0 0.0665330553601962 0.0637211296634632 0.0665656698402017 0.0753890371925081 0.0602779464315972 0.0727768301658216 0.0858736220834544 0.0829367845653906 0.079964350334194 0.0782418828748632 0.0749706614442402 0.071703042522131
