"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-5500 0.777102090069093 0.776582906837575 0.776088680140674 0.776394634158351 0.777728680986911 0.778794274083339 0.778737492510118 0.778094952693209 0.777628418290988 0.777515335357748 0.777563138399273 0.777445922722109
-5000 0.777102090069093 0.776582906837575 0.776088680140674 0.776394634158351 0.777728680986911 0.778794274083339 0.778737492510118 0.778094952693209 0.777628418290988 0.777515335357748 0.777563138399273 0.777445922722109
-4500 0.777102090069093 0.776582906837575 0.776088680140674 0.776394634158351 0.777728680986911 0.778794274083339 0.778737492510118 0.778094952693209 0.777628418290988 0.777515335357748 0.777563138399273 0.777445922722109
-4000 0.785781288868748 0.784911084338091 0.784263553214259 0.78457043855451 0.785906755481847 0.78703167673666 0.787064564065076 0.786519609391689 0.786160555435345 0.786160555435345 0.786484088166617 0.786493939813226
-3500 0.802769922302105 0.801508227596059 0.800708003225736 0.80103766231332 0.802390291937627 0.803585324320011 0.803722417913377 0.803290065960027 0.80305318988394 0.803179180365987 0.803803923190571 0.803920542239211
-3000 0.82404279964976 0.822447080281563 0.821504014311358 0.821832436486147 0.823167501948774 0.824388611363247 0.824602539069019 0.824262155219913 0.824141112389043 0.824400864075869 0.825328868813813 0.825553535833023
-2500 0.845683622173965 0.843857415020466 0.842789420858026 0.843082612846047 0.844372567371465 0.845577247673646 0.845818911329843 0.845529677462764 0.845494752866216 0.845865986775607 0.847040151711553 0.847394578158855
-2000 0.879091589013115 0.877116297488101 0.875993835506961 0.87628020264674 0.877563623362221 0.878771039424464 0.879005034221336 0.878757011378184 0.87877361511346 0.879201383213513 0.88051037164405 0.880953462910838
-1750 0.906420158571564 0.904411994270049 0.903295062016696 0.903585329069756 0.904898639419116 0.906140805454925 0.906366723938845 0.906141518498771 0.906176122953184 0.906607368960977 0.907924331841059 0.90836723393295
-1500 0.946559579460882 0.944589090067893 0.943509861826897 0.943796752835624 0.945178413530812 0.946497515542433 0.946709973504767 0.946497806580737 0.946539003052749 0.946944201132283 0.948196597164497 0.948584725847468
-1400 0.962740916293114 0.960768869845197 0.959694109042175 0.959983168286271 0.961414029006846 0.962803998845629 0.963032274739817 0.962822348810732 0.962858553975821 0.963243030128069 0.964455815847032 0.964809558354318
-1300 0.98100004834123 0.97875008941628 0.977504721959122 0.977854186203331 0.979698292212561 0.981820718152449 0.982418016064912 0.982160243438557 0.982065335847437 0.982257042778656 0.983199861366302 0.983313511824235
-1200 0.999259093077853 0.996731338091195 0.995315465843305 0.995725335087627 0.997982453554869 1.00083748111501 1.00180387380533 1.0014979634434 1.00127205951139 1.00127109908499 1.00194386322983 1.00181755260564
-1100 1.01751822512597 1.01471249945462 1.01312625338323 1.01359651307575 1.01626676041633 1.01985450601205 1.02118926588446 1.02083600359038 1.02047898690216 1.02028500987217 1.02068798150867 1.02032150607556
-1000 1.03448200388812 1.03128675254993 1.02946726838127 1.02992952452041 1.03285248042084 1.03695929283276 1.03879175730981 1.0386444919277 1.03832400054671 1.03801078512333 1.03819748619571 1.03760551428422
-900 1.04884125175886 1.04503173497505 1.04285374982283 1.04317048680969 1.04602426290512 1.0502204822842 1.05280851130374 1.05337949935347 1.05343150789849 1.05314649408683 1.05322428862564 1.05243598227389
-800 1.06320047052577 1.05877700843848 1.05624026036821 1.05641150730662 1.05919575435109 1.06348123517819 1.06682500336319 1.06811398291029 1.06853927718475 1.06828249408863 1.0682514985092 1.06726650847122
-700 1.07876348192804 1.07401597779244 1.07123726047575 1.07112398836762 1.07343474519439 1.07719248626381 1.08076148899272 1.08265224844217 1.08362824539654 1.08374675619416 1.08393625123426 1.08301124419086
-600 1.09686149517074 1.09239851008169 1.0896262829192 1.08893451397307 1.08992075547576 1.09184975735843 1.09452902688645 1.09677552245557 1.09867975697853 1.09990176861174 1.10100500751287 1.10068073263392
-500 1.11359075526707 1.10952675458975 1.10673127346672 1.10536074498668 1.10492049134336 1.10495049739257 1.10669477726333 1.10923350439407 1.11201850813814 1.1143512383569 1.11643952550367 1.11682523856871
-400 1.11982625094242 1.11703123548068 1.1139937560074 1.11117050983012 1.10852051875554 1.10611275886185 1.10657574259676 1.10891624353826 1.11222796840593 1.11572747118771 1.11933652078733 1.12127600004897
-300 1.10940702143125 1.10783474519849 1.10404976294376 1.10022348235361 1.09633800457232 1.09186823829077 1.09114474616945 1.09228122164495 1.09518526005559 1.0994549957104 1.10477648559026 1.10846874304116
-250 1.08078925404698 1.08283100416884 1.07987673254684 1.0763147729449 1.07201249920763 1.06550173950382 1.06267773662694 1.0609874734655 1.0616795043461 1.0651332559064 1.06997301918454 1.07456825207919
-200 1.01541099138558 1.02588150184602 1.02683424483985 1.02531001903117 1.02048524422571 1.00985402241349 1.0024200018961 0.995045149466023 0.991044682450593 0.992037530522794 0.994693604297936 0.999725365545601
