"DOY" "Depth" "SIZE10" "SIZE3" "SIZE1" "SIZE_L1"
24 5.4 0.225806451612903 0.161290322580645 0.419354838709677 0.193548387096774
24 15.3 0.212121212121212 0.181818181818182 0.484848484848485 0.121212121212121
24 24.7 0.225806451612903 0.161290322580645 0.419354838709677 0.193548387096774
24 35.3 0.25 0.178571428571429 0.392857142857143 0.178571428571429
24 45.1 0.214285714285714 0.178571428571429 0.392857142857143 0.214285714285714
24 60.3 0.214285714285714 0.178571428571429 0.392857142857143 0.214285714285714
24 69.5 0.241379310344828 0.206896551724138 0.379310344827586 0.172413793103448
24 100.1 0.233333333333333 0.166666666666667 0.466666666666667 0.133333333333333
24 125.9 0.5 0.5 0 0
25 5 0.314285714285714 0.142857142857143 0.314285714285714 0.228571428571429
45 5.8 0.275 0.175 0.3 0.25
46 4.6 0.27906976744186 0.13953488372093 0.302325581395349 0.27906976744186
46 10.1 0.238095238095238 0.142857142857143 0.357142857142857 0.261904761904762
46 25.4 0.255813953488372 0.13953488372093 0.348837209302326 0.255813953488372
46 30.5 0.244444444444444 0.2 0.333333333333333 0.222222222222222
46 39.3 0.266666666666667 0.177777777777778 0.4 0.155555555555556
46 54.6 0.232558139534884 0.186046511627907 0.395348837209302 0.186046511627907
46 69.4 0.238095238095238 0.190476190476191 0.357142857142857 0.214285714285714
46 99.9 0.219512195121951 0.170731707317073 0.439024390243902 0.170731707317073
46 125.2 0.243243243243243 0.189189189189189 0.351351351351351 0.216216216216216
301 48.9 0.08 0.24 0.6 0.08
301 59.2 0.111111111111111 0.166666666666667 0.611111111111111 0.111111111111111
301 80 0.333333333333333 0.333333333333333 0.333333333333333 0
301 6.1 0.0447761194029851 0.149253731343284 0.597014925373134 0.208955223880597
301 9.9 0.0483870967741935 0.161290322580645 0.596774193548387 0.193548387096774
301 14.6 0.0344827586206897 0.172413793103448 0.586206896551724 0.206896551724138
301 19.1 0.0294117647058824 0.147058823529412 0.529411764705882 0.294117647058824
301 28.9 0.0454545454545454 0.227272727272727 0.545454545454545 0.181818181818182
301 40.5 0.032258064516129 0.129032258064516 0.596774193548387 0.241935483870968
301 44.7 0.075 0.15 0.625 0.15
299 44.6 0.0714285714285714 0.166666666666667 0.642857142857143 0.119047619047619
299 30.4 0.05 0.2 0.6 0.15
299 5 0.04 0.14 0.52 0.3
298 5.4 0.0625 0.125 0.6875 0.125
298 9.9 0.0508474576271186 0.220338983050847 0.644067796610169 0.0847457627118644
298 19.5 0.0847457627118644 0.135593220338983 0.525423728813559 0.254237288135593
298 30.2 0.0545454545454545 0.236363636363636 0.509090909090909 0.2
298 34.8 0.0666666666666667 0.177777777777778 0.6 0.155555555555556
298 44.7 0.114285714285714 0.2 0.542857142857143 0.142857142857143
298 54.1 0.105263157894737 0.315789473684211 0.526315789473684 0.0526315789473684
60 5.2 0.297297297297297 0.162162162162162 0.297297297297297 0.243243243243243
60 15.3 0.24390243902439 0.219512195121951 0.439024390243902 0.0975609756097561
60 30.7 0.222222222222222 0.166666666666667 0.388888888888889 0.222222222222222
60 39.9 0.228571428571429 0.171428571428571 0.428571428571428 0.171428571428571
60 50.1 0.289473684210526 0.157894736842105 0.394736842105263 0.157894736842105
60 65.4 0.315789473684211 0.157894736842105 0.263157894736842 0.263157894736842
60 75.5 0.222222222222222 0.166666666666667 0.305555555555556 0.305555555555556
56 100.3 0.291666666666667 0.166666666666667 0.416666666666667 0.125
56 125.6 0.5 0.5 0 0
56 150.3 0.5 0.5 0 0
56 4.9 0.25 0.166666666666667 0.444444444444444 0.138888888888889
56 15.1 0.195121951219512 0.170731707317073 0.536585365853659 0.0975609756097561
56 30.7 0.27027027027027 0.216216216216216 0.405405405405405 0.108108108108108
56 40.4 0.263157894736842 0.210526315789474 0.421052631578947 0.105263157894737
56 50 0.275 0.175 0.4 0.15
56 65 0.264705882352941 0.176470588235294 0.411764705882353 0.147058823529412
56 74.6 0.275 0.15 0.4 0.175
112 19.7 0.224489795918367 0.306122448979592 0.306122448979592 0.163265306122449
112 40.2 0.25 0.295454545454545 0.295454545454545 0.159090909090909
112 79.3 0.166666666666667 0.277777777777778 0.333333333333333 0.222222222222222
112 99.7 0.272727272727273 0.272727272727273 0.272727272727273 0.181818181818182
112 124.7 0.5 0.5 0 0
112 5 0.15 0.275 0.35 0.225
112 9.1 0.177777777777778 0.244444444444444 0.333333333333333 0.244444444444444
112 25.1 0.205128205128205 0.282051282051282 0.307692307692308 0.205128205128205
112 29.3 0.205882352941176 0.264705882352941 0.294117647058824 0.235294117647059
112 34.9 0.275 0.2 0.3 0.225
112 44 0.24390243902439 0.219512195121951 0.292682926829268 0.24390243902439
112 59.4 0.242424242424242 0.272727272727273 0.242424242424242 0.242424242424242
110 59.8 0.205882352941177 0.205882352941177 0.323529411764706 0.264705882352941
110 29 0.25 0.25 0.277777777777778 0.222222222222222
110 5.1 0.25 0.222222222222222 0.277777777777778 0.25
110 19.2 0.162162162162162 0.243243243243243 0.378378378378378 0.216216216216216
110 39.2 0.138888888888889 0.222222222222222 0.388888888888889 0.25
110 79.5 0.192307692307692 0.192307692307692 0.384615384615385 0.230769230769231
110 100.3 0.25 0.25 0.333333333333333 0.166666666666667
110 125.6 0.333333333333333 0.333333333333333 0.333333333333333 0
110 5.1 0.184210526315789 0.421052631578947 0.184210526315789 0.210526315789474
110 9.6 0.205882352941176 0.205882352941176 0.411764705882353 0.176470588235294
110 24.3 0.176470588235294 0.235294117647059 0.352941176470588 0.235294117647059
110 29.3 0.176470588235294 0.264705882352941 0.323529411764706 0.235294117647059
110 34.6 0.171428571428571 0.257142857142857 0.342857142857143 0.228571428571429
110 44 0.25 0.166666666666667 0.333333333333333 0.25
110 59.3 0.1875 0.21875 0.34375 0.25
188 11.9 0.235294117647059 0.141176470588235 0.352941176470588 0.270588235294118
188 45.1 0.449152542372881 0.169491525423729 0.186440677966102 0.194915254237288
188 70.3 0.421052631578947 0.157894736842105 0.263157894736842 0.157894736842105
188 100.2 0.333333333333333 0.333333333333333 0.333333333333333 0
188 125.2 0.5 0.5 0 0
188 3.3 0.216867469879518 0.180722891566265 0.481927710843374 0.120481927710843
188 6.5 0.235294117647059 0.164705882352941 0.470588235294118 0.129411764705882
188 14.8 0.263736263736264 0.175824175824176 0.384615384615385 0.175824175824176
188 19.7 0.333333333333333 0.116279069767442 0.310077519379845 0.24031007751938
188 24.7 0.375 0.0972222222222222 0.444444444444444 0.0833333333333333
