"DOY" "Depth" "DIP"
305 4.7 0.09
305 39.4 0.08
305 99.4 0.14
305 150.3 0.27
305 191.8 0.31
305 217 0.39
305 10.7 0.07
305 25.5 0.08
305 42.9 0.09
305 68.3 0.08
305 114.4 0.16
306 16.6 0.08
306 36.5 0.09
306 56.4 0.07
306 77.8 0.08
306 97.8 0.09
306 117.3 0.14
306 137.8 0.22
306 157.7 0.29
306 181.8 0.34
306 204.2 0.42
306 228.8 0.47
337 15.6 0.09
337 99.5 0.11
337 136.4 0.19
337 173.3 0.25
337 238 0.34
337 1.5 0.09
337 21.2 0.09
337 46.2 0.08
337 71.1 0.08
337 97.9 0.12
337 122.9 0.18
337 148.6 0.22
337 177.6 0.23
337 1.6 0.0352
337 16.2 0.0342
337 37.8 0.0371
337 57.9 0.042
337 79.2 0.0508
337 98.9 0.0967
337 119.7 0.16
337 139.8 0.22
337 161.5 0.22
337 181.1 0.23
8 35.9 0.09
8 204.9 0.32
8 19.7 0.09
8 118.8 0.13
8 186 0.3
8 4.9 0.0283
8 22.8 0.0361
8 43.3 0.0205
8 72.7 0.0439
8 97.7 0.0459
8 122.2 0.043
8 146.8 0.16
8 176.8 0.21
9 2.8 0.07
9 18.4 0.07
8 38.2 0.07
8 56.7 0.07
8 79.4 0.09
8 96.6 0.1
8 117.5 0.14
8 139.2 0.18
8 151.6 0.24
8 163.4 0.27
8 186.7 0.34
8 230.8 0.43
9 201.3 0.32
58 8.7 0.09
58 18.8 0.09
58 38.5 0.09
58 58.4 0.09
58 78.4 0.04
58 98.4 0.04
58 108.2 0.04
58 118.3 0.08
58 131.3 0.07
58 141.4 0.13
58 151.3 0.17
58 163 0.22
59 179.4 0.31
59 226.3 0.43
59 201 0.36
59 5.8 0.0889
59 22.1 0.1192
59 41.8 0.0837
59 71.8 0.0483
59 99.6 0.0472
59 123.2 0.0679
59 151.1 0.2634
59 177.4 0.3262
59 47 0.08
59 131 0.11
59 162.1 0.24
59 203.7 0.39
86 26.7 0.12
86 111.1 0.09
86 144.1 0.2
86 212 0.33
88 40.8 0.08
88 71.7 0.08
88 81.6 0.08
88 92.5 0.08
88 101.9 0.08
88 111.7 0.08
88 121.6 0.16
88 127.4 0.18
88 133.7 0.2
88 143.6 0.21
88 152.5 0.23
88 200.2 0.36
138 30.7 0.09
138 87.1 0.07
138 136.1 0.21
138 201 0.42
138 4.5 0.09
138 19.5 0.09
138 39.4 0.08
138 59.4 0.09
138 79 0.12
138 99 0.17
138 108.7 0.2
138 119.1 0.24
138 129 0.29
138 139.8 0.31
138 159.7 0.34
138 179.6 0.42
138 199.7 0.42
175 15.3 0.14
175 79.6 0.12
175 99.5 0.16
175 139.5 0.17
175 199.2 0.47
175 242.8 0.84
175 49.1 0.16
175 127.6 0.08
175 225.5 0.5
175 105.2 0.07
209 54.3 0.07
209 98.5 0.09
209 148.5 0.21
209 206.8 0.42
210 204.9 0.48
210 228 0.54
210 5.6 0.1
210 27.4 0.1
210 46.8 0.11
210 61.7 0.09
210 77.3 0.07
210 87.8 0.1
210 98.5 0.14
210 109.3 0.12
210 119.2 0.13
210 130.5 0.13
210 156 0.27
210 181.1 0.39
235 59.9 0.11
235 91.6 0.07
235 139.3 0.13
235 191.7 0.34
235 227.3 0.41
236 203.8 0.38
236 230.9 0.46
236 4.8 0.11
236 25.8 0.11
236 45.8 0.11
236 61.6 0.1
236 76.1 0.08
236 87.3 0.07
236 97.4 0.06
236 109 0.06
236 118 0.06
236 130.5 0.07
236 157 0.14
236 181.8 0.27
265 7.2 0.09
265 86.7 0.11
265 96.6 0.08
265 108.3 0.08
265 123.4 0.13
265 132.9 0.16
265 143.8 0.33
265 182.8 0.42
265 217.7 0.54
266 6.3 0.06
266 26.5 0.06
266 47.4 0.06
266 63.2 0.06
266 79 0.06
266 98.6 0.06
266 111.2 0.09
266 119.9 0.17
266 131.7 0.19
266 157.5 0.47
266 182.1 0.48
266 206.7 0.51
266 231.7 0.5
266 78.4 0.1023
266 104.5 0.1058
266 155.9 0.2566
291 9.5 0.06
291 26.3 0.05
291 78.9 0.03
291 118.1 0.03
291 133.3 0.06
291 198.5 0.24
291 246.1 0.37
292 4.8 0.0667
292 25.5 0.06
292 45.4 0.0856
292 61.7 0.03
292 76.4 0.0368
292 86.7 0.02
292 96.5 0.03
292 106.4 0.0686
