"DOY" "Depth" "PON"
59 5 0.255
59 42 0.18
59 71.8 0.242
59 100.2 0.227
59 126.4 0.12
59 148.4 0.113
59 177.6 0.061
59 247.7 0.032
59 303.2 0.047
138 1.3 0.272
138 20.8 0.3
138 40.9 0.293
138 73.5 0.223
138 98.2 0.272
138 125.2 0.209
138 149.8 0.098
138 174.6 0.077
138 252.3 0.056
138 467.5 0.035
211 7.6 0.293
211 27.8 0.301
211 47.4 0.326
211 76.2 0.218
211 105 0.236
211 129.8 0.205
211 154.2 0.073
211 180.7 0.084
211 255.7 0.06
237 6.1 0.317
237 26.3 0.348
237 46.9 0.31
237 77.2 0.284
237 103.2 0.264
237 130.1 0.219
237 156.9 0.122
237 183.6 0.097
267 78 0.398
267 104.1 0.237
267 155.7 0.174
267 181 0.091
267 257.8 0.091
293 25.1 0.363
293 45.3 0.314
293 75.7 0.251
293 101.3 0.314
293 128.2 0.209
293 155.6 0.105
293 183.2 0.119
293 260.8 0.077
6 4.9 0.181
6 25.5 0.204
6 25.4 0.175
6 25.6 0.203
6 46.1 0.216
6 75.6 0.192
6 102.1 0.109
6 102 0.096
6 126.7 0.084
6 154 0.069
6 179.5 0.061
6 258.2 0.065
46 6.4 0.258
46 25.6 0.251
46 45.9 0.272
46 76.1 0.279
46 125.9 0.153
46 153.3 0.084
46 178.8 0.049
46 257.4 0.035
80 4.7 0.286
80 24.6 0.279
80 44.2 0.286
80 73.7 0.3
80 104.3 0.272
80 128.9 0.153
80 152.2 0.132
80 176 0.119
80 257.3 0.105
103 6.4 0.3
103 6.3 0.307
102 6.3 0.314
102 31.1 0.307
102 31 0.314
102 45.6 0.293
102 75.7 0.23
102 101.5 0.216
102 143.2 0.174
102 152.8 0.153
102 177.2 0.132
102 455.2 0.042
129 8.2 0.321
129 28 0.37
129 48.8 0.335
129 79.6 0.321
129 105.3 0.3
129 130.7 0.167
129 155.6 0.119
129 181.6 0.098
129 253.1 0.063
164 11.5 0.3
164 27.3 0.314
164 47.4 0.342
164 78.1 0.307
164 104 0.237
164 129.4 0.258
164 154.7 0.153
164 180.2 0.112
164 256.9 0.098
207 6 0.384
207 27 0.37
207 46.3 0.349
207 102.3 0.293
207 130.5 0.153
207 154.7 0.139
207 185.6 0.098
207 256.8 0.091
352 6.6 0.237
352 28.5 0.244
352 45.7 0.237
352 76.5 0.237
352 102 0.206
352 128.3 0.139
352 154.1 0.098
352 177.3 0.042
352 254.2 0.056
35 6.9 0.209
35 26.6 0.188
35 26.6 0.181
35 46.5 0.195
35 76.2 0.188
35 105.7 0.167
35 105.7 0.174
35 129.7 0.132
35 157.4 0.077
35 179.3 0.07
35 264 0.056
66 14.9 0.279
66 30.8 0.265
66 48 0.23
66 77.9 0.244
66 106.7 0.23
66 127.4 0.23
66 155.2 0.132
66 175.6 0.07
66 262.9 0.035
100 7.6 0.279
100 28.8 0.286
100 47.9 0.3
100 77.3 0.265
100 101.6 0.293
100 111.4 0.286
100 118.7 0.251
100 129.2 0.237
100 156 0.119
100 182.4 0.112
100 258.6 0.105
101 13 0.3
101 13.1 0.272
101 13.1 0.279
101 12.9 0.265
128 79 0.411
128 105.2 0.335
128 129.9 0.314
128 156.7 0.139
128 182.4 0.119
128 182.4 0.119
128 260.1 0.105
155 26.2 0.265
155 48.5 0.272
155 78.5 0.453
155 103.3 0.209
155 119.1 0.272
155 128.7 0.098
155 140.9 0.105
155 155.2 0.105
155 182.3 0.091
156 130.6 0.418
156 258.6 0.07
191 6.1 0.425
191 27.1 0.481
191 49.1 0.453
191 78.1 0.453
191 106.1 0.272
191 128.9 0.328
191 155.4 0.216
191 181.5 0.174
191 258.6 0.084
222 8.3 0.265
222 24 0.37
222 44.6 0.286
222 62.7 0.404
222 80.1 0.314
222 102.6 0.153
222 144.4 0.139
222 156 0.042
222 179.6 0.091
260 27 0.397
294 6.7 0.265
294 26.2 0.335
294 46.2 0.244
294 76.9 0.307
294 101.5 0.293
294 122 0.23
294 127.1 0.23
294 150.8 0.119
294 175.9 0.119
294 251.9 0.098
340 6.8 0.286
340 151.1 0.146
340 176.2 0.07
340 494.2 0.028
45 27.2 0.307
45 47.4 0.22
45 78.1 0.181
45 83.5 0.188
45 124.3 0.028
45 134.2 0.042
45 154.6 0.112
45 184.8 0.105
161 8.6 0.202
161 28.5 0.234
161 47.5 0.223
