"DOY" "Depth" "POP"
307 18.9 19.9
307 38.9 15.1
307 66.7 20.8
307 116.1 7.9
307 308.4 4.1
338 1.6 16.1
338 21.6 16.4
338 46.4 16.4
338 72.1 19.9
338 97.9 20.2
338 125.8 9.5
338 151.1 6
338 176.9 13.9
338 302.8 3.5
9 20.6 16.7
9 69.8 8.2
9 98.6 12.6
9 123.2 10.1
9 148 8.5
9 172 8.2
9 251.6 5
85 3 13.2
85 22.9 13.6
85 42.7 12.6
85 74.6 12.3
85 152.4 8.5
85 178.7 6.6
85 258.2 2.5
85 305.8 3.5
138 30.1 18.6
138 49.9 14.5
138 79.9 19.5
138 303.2 2.8
175 5.8 12.3
175 26.2 15.8
175 51.4 15.5
175 78.4 17.7
175 103.4 10.4
175 129.1 9.5
175 152.3 7.3
175 179.9 4.4
175 257.6 3.8
209 6.3 18.9
209 47.8 13.6
209 77.1 11.3
209 103.3 12.3
209 129 8.5
209 155.4 5.4
209 180.9 5.7
209 257.8 3.8
264 45.7 23.7
264 76.4 23.3
264 129.2 11
264 156.5 7.9
264 182.9 7.9
264 256.3 6.3
290 129.2 14.5
290 155.4 6
290 179.6 5.7
290 252.8 4.4
7 2.8 17.7
7 26.2 6.6
7 26.2 12
7 26.2 20.5
7 46.6 18.6
7 76.5 21.4
7 102.8 15.4
7 102.8 30.3
7 128.6 10.1
7 153.9 9.1
7 178.4 6.9
7 253.6 6.9
47 44.8 17.7
47 75.1 14.5
47 125.4 9.1
47 154.7 5.7
47 154.8 6
47 179.1 7.6
47 249 7.6
78 4.1 16.1
78 44.6 18
78 60.4 18.6
78 75 16.4
78 85.3 13.2
78 95.3 13.2
78 105.6 13.6
78 116.3 14.8
78 136.5 9.5
78 153 7.6
78 178.4 6.6
78 204.9 6.6
102 46.6 25.9
102 78.2 30.6
102 78.2 17.3
102 123 18.9
102 123 15.1
102 148.9 12.9
102 179.5 11
129 5.7 31.8
129 11.6 24.3
129 26.5 23.6
129 46.4 30.9
129 77.5 22.1
129 102.2 21.8
129 102.1 20.2
129 129.8 13.9
129 155 8.8
129 179.1 8.5
129 257.7 4.4
164 12 24.9
164 26.5 19.5
164 46.8 27.4
164 77.7 19.7
164 103.7 14.5
164 129 12.3
164 154 8.5
164 179.6 7.6
206 27 22.7
206 47 21.1
206 77.7 16.7
206 103 17
206 128.7 10.1
206 154.3 9.1
206 181 7.9
206 259.3 7.3
353 6.8 23
353 77.4 34.4
353 128.4 14
353 153.7 14.8
353 183.8 8.5
353 258.1 5.7
35 6.9 27.4
35 3.4 12
35 22.9 15.1
35 76 26.5
