"DOY" "Depth" "TIN"
305 4.7 0.02
305 39.4 0.04
305 99.4 0.21
305 150.3 2.07
305 191.8 2.26
305 217 3.79
305 279.9 8.01
305 340.6 13.95
305 399 20.73
305 475.9 26.87
305 677.8 40.18
305 1013.7 41.29
305 542.6 32.42
305 2880 37.05
305 25.5 0.04
305 42.9 0.02
305 114.4 0.4
306 16.6 0.02
306 56.4 0.02
306 117.3 0.36
306 137.8 1.3
306 157.7 2.37
306 181.8 3.07
306 204.2 4.21
306 228.8 4.92
306 303.8 10.9
306 354.5 15.32
306 405.3 20.9
306 505.4 32.55
306 602.9 38.41
306 705.7 41.24
306 805.2 41.17
306 906.4 41.5
306 1008.8 41.5
337 2603.2 38.67
337 2808.4 38.02
337 2990.6 37.58
337 3191.8 37.14
337 3390.4 36.71
337 3594.9 36.49
337 3797.6 36.16
336 3999.2 35.89
336 4200.3 35.83
336 4399.6 35.83
336 4505 35.72
337 695.3 39.89
337 755.2 41.08
337 839.6 41.52
337 990 41.51
337 1190.4 41.47
337 1391.9 41.07
337 1598.4 40.64
337 1807.8 40.09
337 1995.9 39.94
337 2207.1 39.44
337 2413.5 38.78
337 15.6 0.07
337 99.5 0.18
337 136.4 0.12
337 173.3 2.23
337 238 3.43
337 322.5 11.29
337 433.3 20.2
337 494.5 26.47
337 526.2 28.43
337 575 33.67
337 637.8 38.36
337 1.5 0.05
337 21.2 0.05
337 46.2 0.07
337 71.1 0.05
337 97.9 0.21
337 122.9 0.72
337 148.6 1.61
337 177.6 2.03
337 1.6 0.05
337 16.2 0.05
337 37.8 0.07
337 57.9 0.07
337 79.2 0.07
337 98.9 0.55
337 119.7 0.76
337 139.8 1.59
337 161.5 1.77
337 181.1 2.05
337 258.5 5.35
338 277.2 6.72
338 303.3 9.21
338 354.9 13.14
338 404.1 16.96
338 506.6 28.1
338 605.6 36.29
338 705.7 40.32
338 805.9 41.85
338 905.7 41.62
338 1005.7 41.72
8 2396.7 39.42
8 2575.1 38.72
8 2786.4 38.15
8 2987.6 37.73
8 3402.8 36.99
8 3590 36.57
8 3794.8 36.36
8 4003.6 36.25
8 4403.3 36.2
8 4504.9 35.94
8 35.9 0.02
8 204.9 3.41
8 378.3 16.68
8 598.6 34.8
8 757.5 41.11
8 928.8 41.63
8 1148.5 41.52
8 1351.3 41.41
8 1600.2 40.89
8 1775.8 40.46
8 1926.6 40.26
8 2201.1 39.73
8 19.7 0.02
8 118.8 0.38
8 186 2.75
8 252.9 5.2
8 334.2 13
8 384.7 17.59
8 436.6 20.96
8 504.2 28.69
8 549.5 31.85
8 596.9 36.01
8 710.8 40.38
8 1016.4 41.61
8 4.9 0.02
8 22.8 0.04
8 43.3 0.02
8 72.7 0.04
8 97.7 0.04
8 122.2 0.11
8 146.8 0.61
8 176.8 1.49
9 2.8 0.02
8 38.2 0.02
8 56.7 0.04
8 79.4 0.04
8 96.6 0.1
8 117.5 0.49
8 139.2 1.02
8 151.6 1.81
8 163.4 2.09
8 186.7 3.2
8 230.8 4.6
9 201.3 2.82
9 251 5.16
9 278 5.72
9 304.3 7.71
9 353.1 14.22
9 403.8 19.55
9 505 28.9
9 605.8 36.17
9 705.5 40.58
9 906.4 41.63
9 1021.7 41.56
58 8.7 0.07
58 18.8 0.05
58 38.5 0.07
58 58.4 0.05
58 78.4 0.05
58 98.4 0.07
58 108.2 0.05
58 118.3 0.07
58 131.3 0.29
58 141.4 0.98
58 151.3 1.53
58 163 2.16
59 179.4 3.23
59 226.3 4.91
59 250.9 6.57
59 270.4 7.8
59 299.8 9.29
59 402.2 16.5
59 502.1 28.69
59 602.8 35.71
59 703.8 39.83
59 806.7 40.83
59 908.3 41.16
59 1005 41.28
59 201 3.97
59 2399.1 39.15
59 2601.8 38.7
59 2804 38.15
59 3005.6 37.59
59 3197.6 37.2
59 3400.3 36.7
