Ref,Species,Strain,ID,Temp,LD,Light,Unit,QN,Carbon_pmol,Chl_pg,theta,mu
Falkowski and Owens (1980),Skeletonema costatum,,1,15,0.583333333,130,uE m-2 s-1,0.18,1.17,0.402,0.345,
Falkowski and Owens (1980),Skeletonema costatum,,1,15,0.583333333,65,uE m-2 s-1,0.20,1.25,0.482,0.386,
Falkowski and Owens (1980),Skeletonema costatum,,1,15,0.583333333,39,uE m-2 s-1,0.27,1.33,0.527,0.395,
Falkowski and Owens (1980),Skeletonema costatum,,1,15,0.583333333,20,uE m-2 s-1,0.29,1.50,0.634,0.423,
Falkowski and Owens (1980),Skeletonema costatum,,1,15,0.583333333,9,uE m-2 s-1,0.23,1.58,0.456,0.288,
Falkowski and Owens (1980),Skeletonema costatum,,1,15,0.583333333,2.6,uE m-2 s-1,0.26,1.67,0.447,0.268,
Falkowski and Owens (1980),Skeletonema costatum,,1,15,0.583333333,0.7,uE m-2 s-1,0.22,1.67,0.447,0.268,
Falkowski and Owens (1980),Duneliella tertiolecta,,2,15,0.583333333,400,uE m-2 s-1,0.19,2.42,1.054,0.436,
Falkowski and Owens (1980),Duneliella tertiolecta,,2,15,0.583333333,200,uE m-2 s-1,0.24,2.50,1.331,0.533,
Falkowski and Owens (1980),Duneliella tertiolecta,,2,15,0.583333333,120,uE m-2 s-1,0.26,2.33,1.867,0.800,
Falkowski and Owens (1980),Duneliella tertiolecta,,2,15,0.583333333,60,uE m-2 s-1,0.29,2.58,2.466,0.955,
Falkowski and Owens (1980),Duneliella tertiolecta,,2,15,0.583333333,20,uE m-2 s-1,0.31,3.08,2.761,0.895,
Falkowski and Owens (1980),Duneliella tertiolecta,,2,15,0.583333333,8,uE m-2 s-1,0.33,3.42,2.278,0.667,
Falkowski and Owens (1980),Duneliella tertiolecta,,2,15,0.583333333,2,uE m-2 s-1,0.32,3.33,2.171,0.651,
Falkowski et al. (1985),Thalassiosira weisflogii,,3,18,1,30,umol Quanta m-2 s-1,0.14,22.92,13.75,0.600,0.25
Falkowski et al. (1985),Thalassiosira weisflogii,,3,18,1,70,umol Quanta m-2 s-1,0.13,23.08,11.84,0.513,0.62
Falkowski et al. (1985),Thalassiosira weisflogii,,3,18,1,150,umol Quanta m-2 s-1,0.13,24.25,10.07,0.415,1.15
Falkowski et al. (1985),Thalassiosira weisflogii,,3,18,1,320,umol Quanta m-2 s-1,0.10,27.33,6.92,0.253,1.73
Falkowski et al. (1985),Thalassiosira weisflogii,,3,18,1,600,umol Quanta m-2 s-1,0.11,27.17,5.06,0.186,1.8
Falkowski et al. (1985),Prorocentrum micans,,4,18,1,70,umol Quanta m-2 s-1,0.23,89.00,6.63,0.075,0.08
Falkowski et al. (1985),Prorocentrum micans,,4,18,1,150,umol Quanta m-2 s-1,0.21,91.33,5.20,0.057,0.11
Falkowski et al. (1985),Prorocentrum micans,,4,18,1,320,umol Quanta m-2 s-1,0.21,93.08,3.23,0.035,0.16
Falkowski et al. (1985),Prorocentrum micans,,4,18,1,600,umol Quanta m-2 s-1,0.22,98.17,2.85,0.029,0.18
Falkowski et al. (1985),Isochrysis galbana,,5,18,1,30,umol Quanta m-2 s-1,0.137,0.858,0.25,0.286,0.30
Falkowski et al. (1985),Isochrysis galbana,,5,18,1,70,umol Quanta m-2 s-1,0.156,1.033,0.21,0.207,0.70
Falkowski et al. (1985),Isochrysis galbana,,5,18,1,150,umol Quanta m-2 s-1,0.152,1.250,0.21,0.164,1.10
Falkowski et al. (1985),Isochrysis galbana,,5,18,1,320,umol Quanta m-2 s-1,0.167,1.375,0.14,0.105,1.20
Falkowski et al. (1985),Isochrysis galbana,,5,18,1,600,umol Quanta m-2 s-1,0.115,1.667,0.12,0.069,1.20
Strzepek and Price (2000),Thalassiosira weisflogii,Nitrate,6,20,1,108,umol photons m-2 s-1,0.13,8.70,3.31,0.380,
Strzepek and Price (2000),Thalassiosira weisflogii,Nitrate,6,20,1,66,umol photons m-2 s-1,0.11,9.36,7.04,0.752,
Strzepek and Price (2000),Thalassiosira weisflogii,Nitrate,6,20,1,37,umol photons m-2 s-1,0.10,12.30,5.66,0.460,
Strzepek and Price (2000),Thalassiosira weisflogii,Nitrate,6,20,1,20,umol photons m-2 s-1,0.16,5.50,7.12,1.295,
Strzepek and Price (2000),Thalassiosira weisflogii,Nitrate,6,20,1,14,umol photons m-2 s-1,0.12,9.50,5.48,0.577,
Strzepek and Price (2000),Thalassiosira weisflogii,Nitrate,6,20,1,10,umol photons m-2 s-1,0.12,10.60,3.73,0.352,
Strzepek and Price (2000),Thalassiosira weisflogii,Nitrate,6,20,1,6,umol photons m-2 s-1,0.12,10.30,4.31,0.418,
Strzepek and Price (2000),Thalassiosira weisflogii,Ammonia,6,20,1,108,umol photons m-2 s-1,0.128,8.890,2.720,0.306,
Strzepek and Price (2000),Thalassiosira weisflogii,Ammonia,6,20,1,66,umol photons m-2 s-1,0.115,10.500,6.450,0.614,
Strzepek and Price (2000),Thalassiosira weisflogii,Ammonia,6,20,1,37,umol photons m-2 s-1,0.119,10.600,7.760,0.732,
Strzepek and Price (2000),Thalassiosira weisflogii,Ammonia,6,20,1,20,umol photons m-2 s-1,0.120,10.000,8.510,0.851,
Strzepek and Price (2000),Thalassiosira weisflogii,Ammonia,6,20,1,14,umol photons m-2 s-1,0.102,9.500,4.610,0.485,
